svc_type,svc_grp,code,unit_type,unit_hrs,short_desc,long_desc
Health Services,Occupational Therapy and Physical Therapy,97165,Encounter - 30 min,0.5,Ot eval low complex 30 min,"OCCUPATIONAL THERAPY EVALUATION, LOW COMPLEXITY, REQUIRING THESE COMPONENTS: AN OCCUPATIONAL PROFILE AND MEDICAL AND THERAPY HISTORY, WHICH INCLUDES A BRIEF HISTORY INCLUDING REVIEW OF MEDICAL AND/OR THERAPY RECORDS RELATING TO THE PRESENTING PROBLEM; AN ASSESSMENT(S) THAT IDENTIFIES 1-3 PERFORMANCE DEFICITS (IE, RELATING TO PHYSICAL, COGNITIVE, OR PSYCHOSOCIAL SKILLS) THAT RESULT IN ACTIVITY LIMITATIONS AND/OR PARTICIPATION RESTRICTIONS; AND CLINICAL DECISION MAKING OF LOW COMPLEXITY, WHICH INCLUDES AN ANALYSIS OF THE OCCUPATIONAL PROFILE, ANALYSIS OF DATA FROM PROBLEM-FOCUSED ASSESSMENT(S), AND CONSIDERATION OF A LIMITED NUMBER OF TREATMENT OPTIONS. PATIENT PRESENTS WITH NO COMORBIDITIES THAT AFFECT OCCUPATIONAL PERFORMANCE. MODIFICATION OF TASKS OR ASSISTANCE (EG, PHYSICAL OR VERBAL) WITH ASSESSMENT(S) IS NOT NECESSARY TO ENABLE COMPLETION OF EVALUATION COMPONENT. TYPICALLY, 30 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
Health Services,Occupational Therapy and Physical Therapy,97166,Encounter - 45 min,0.75,Ot eval mod complex 45 min,"OCCUPATIONAL THERAPY EVALUATION, MODERATE COMPLEXITY, REQUIRING THESE COMPONENTS: AN OCCUPATIONAL PROFILE AND MEDICAL AND THERAPY HISTORY, WHICH INCLUDES AN EXPANDED REVIEW OF MEDICAL AND/OR THERAPY RECORDS AND ADDITIONAL REVIEW OF PHYSICAL, COGNITIVE, OR PSYCHOSOCIAL HISTORY RELATED TO CURRENT FUNCTIONAL PERFORMANCE; AN ASSESSMENT(S) THAT IDENTIFIES 3-5 PERFORMANCE DEFICITS (IE, RELATING TO PHYSICAL, COGNITIVE, OR PSYCHOSOCIAL SKILLS) THAT RESULT IN ACTIVITY LIMITATIONS AND/OR PARTICIPATION RESTRICTIONS; AND CLINICAL DECISION MAKING OF MODERATE ANALYTIC COMPLEXITY, WHICH INCLUDES AN ANALYSIS OF THE OCCUPATIONAL PROFILE, ANALYSIS OF DATA FROM DETAILED ASSESSMENT(S), AND CONSIDERATION OF SEVERAL TREATMENT OPTIONS. PATIENT MAY PRESENT WITH COMORBIDITIES THAT AFFECT OCCUPATIONAL PERFORMANCE. MINIMAL TO MODERATE MODIFICATION OF TASKS OR ASSISTANCE (EG, PHYSICAL OR VERBAL) WITH ASSESSMENT(S) IS NECESSARY TO ENABLE PATIENT TO COMPLETE EVALUATION COMPONENT. TYPICALLY, 45 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
Health Services,Occupational Therapy and Physical Therapy,97167,Hour,1,Ot eval high complex 60 min,"OCCUPATIONAL THERAPY EVALUATION, HIGH COMPLEXITY, REQUIRING THESE COMPONENTS: AN OCCUPATIONAL PROFILE AND MEDICAL AND THERAPY HISTORY, WHICH INCLUDES REVIEW OF MEDICAL AND/OR THERAPY RECORDS AND EXTENSIVE ADDITIONAL REVIEW OF PHYSICAL, COGNITIVE, OR PSYCHOSOCIAL HISTORY RELATED TO CURRENT FUNCTIONAL PERFORMANCE; AN ASSESSMENT(S) THAT IDENTIFIES 5 OR MORE PERFORMANCE DEFICITS (IE, RELATING TO PHYSICAL, COGNITIVE, OR PSYCHOSOCIAL SKILLS) THAT RESULT IN ACTIVITY LIMITATIONS AND/OR PARTICIPATION RESTRICTIONS; AND CLINICAL DECISION MAKING OF HIGH ANALYTIC COMPLEXITY, WHICH INCLUDES AN ANALYSIS OF THE PATIENT PROFILE, ANALYSIS OF DATA FROM COMPREHENSIVE ASSESSMENT(S), AND CONSIDERATION OF MULTIPLE TREATMENT OPTIONS. PATIENT PRESENTS WITH COMORBIDITIES THAT AFFECT OCCUPATIONAL PERFORMANCE. SIGNIFICANT MODIFICATION OF TASKS OR ASSISTANCE (EG, PHYSICAL OR VERBAL) WITH ASSESSMENT(S) IS NECESSARY TO ENABLE PATIENT TO COMPLETE EVALUATION COMPONENT. TYPICALLY, 60 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
Health Services,Occupational Therapy and Physical Therapy,97168,Encounter - 30 min,0.5,Ot re-eval est plan care,"RE-EVALUATION OF OCCUPATIONAL THERAPY ESTABLISHED PLAN OF CARE, REQUIRING THESE COMPONENTS: AN ASSESSMENT OF CHANGES IN PATIENT FUNCTIONAL OR MEDICAL STATUS WITH REVISED PLAN OF CARE; AN UPDATE TO THE INITIAL OCCUPATIONAL PROFILE TO REFLECT CHANGES IN CONDITION OR ENVIRONMENT THAT AFFECT FUTURE INTERVENTIONS AND/OR GOALS; AND A REVISED PLAN OF CARE. A FORMAL REEVALUATION IS PERFORMED WHEN THERE IS A DOCUMENTED CHANGE IN FUNCTIONAL STATUS OR A SIGNIFICANT CHANGE TO THE PLAN OF CARE IS REQUIRED. TYPICALLY, 30 MINUTES ARE SPENT FACE-TO-FACE WITH THE PATIENT AND/OR FAMILY."
Health Services,Occupational Therapy and Physical Therapy,97504,Encounter,0.25,Occupational Therapy,NA
Health Services,Occupational Therapy and Physical Therapy,97530,15 min,0.25,Therapeutic activities,"THERAPEUTIC ACTIVITIES, DIRECT (ONE-ON-ONE) PATIENT CONTACT (USE OF DYNAMIC ACTIVITIES TO IMPROVE FUNCTIONAL PERFORMANCE), EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97532,15 min,0.25,Occupational Therapy and Physical Therapy,NA
Health Services,Occupational Therapy and Physical Therapy,97533,15 min,0.25,Sensory integration,"SENSORY INTEGRATIVE TECHNIQUES TO ENHANCE SENSORY PROCESSING AND PROMOTE ADAPTIVE RESPONSES TO ENVIRONMENTAL DEMANDS, DIRECT (ONE-ON-ONE) PATIENT CONTACT, EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97535,15 min,0.25,Self care mngment training,"SELF-CARE/HOME MANAGEMENT TRAINING (EG, ACTIVITIES OF DAILY LIVING (ADL) AND COMPENSATORY TRAINING, MEAL PREPARATION, SAFETY PROCEDURES, AND INSTRUCTIONS IN USE OF ASSISTIVE TECHNOLOGY DEVICES/ADAPTIVE EQUIPMENT) DIRECT ONE-ON-ONE CONTACT, EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97537,15 min,0.25,Community/work reintegration,"COMMUNITY/WORK REINTEGRATION TRAINING (EG, SHOPPING, TRANSPORTATION, MONEY MANAGEMENT, AVOCATIONAL ACTIVITIES AND/OR WORK ENVIRONMENT/MODIFICATION ANALYSIS, WORK TASK ANALYSIS, USE OF ASSISTIVE TECHNOLOGY DEVICE/ADAPTIVE EQUIPMENT), DIRECT ONE-ON-ONE CONTACT, EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97542,15 min,0.25,Wheelchair mngment training,"WHEELCHAIR MANAGEMENT (EG, ASSESSMENT, FITTING, TRAINING), EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97703,15 min,0.25,Occupational Therapy,NA
Screening & Assessment,Physical therapy evaluation,97750,15 min,0.25,Physical performance test,"PHYSICAL PERFORMANCE TEST OR MEASUREMENT (EG, MUSCULOSKELETAL, FUNCTIONAL CAPACITY), WITH WRITTEN REPORT, EACH 15 MINUTES"
Screening & Assessment,Physical therapy evaluation,97755,16 min,0.25,Assistive technology assess,"ASSISTIVE TECHNOLOGY ASSESSMENT (EG, TO RESTORE, AUGMENT OR COMPENSATE FOR EXISTING FUNCTION, OPTIMIZE FUNCTIONAL TASKS AND/OR MAXIMIZE ENVIRONMENTAL ACCESSIBILITY), DIRECT ONE-ON-ONE CONTACT, WITH WRITTEN REPORT, EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97760,Encounter - 15 min,0.25,Orthotic mgmt&trainj 1st enc,"ORTHOTIC(S) MANAGEMENT AND TRAINING (INCLUDING ASSESSMENT AND FITTING WHEN NOT OTHERWISE REPORTED), UPPER EXTREMITY(IES), LOWER EXTREMITY(IES) AND/OR TRUNK, INITIAL ORTHOTIC(S) ENCOUNTER, EACH 15 MINUTES"
Equipment/Supplies,Prosthetic training,97761,15 min,0.25,Prosthetic trainj 1st enc,"PROSTHETIC(S) TRAINING, UPPER AND/OR LOWER EXTREMITY(IES), INITIAL PROSTHETIC(S) ENCOUNTER, EACH 15 MINUTES"
Health Services,Occupational Therapy and Physical Therapy,97762,15 min,0.25,Occupational Therapy and Physical Therapy,NA
Health Services,Occupational Therapy and Physical Therapy,97763,15 min,0.25,Orthc/prostc mgmt sbsq enc,"ORTHOTIC(S)/PROSTHETIC(S) MANAGEMENT AND/OR TRAINING, UPPER EXTREMITY(IES), LOWER EXTREMITY(IES), AND/OR TRUNK, SUBSEQUENT ORTHOTIC(S)/PROSTHETIC(S) ENCOUNTER, EACH 15 MINUTES"
Health Services,Nutrition Services,97802,Encounter,0.25,Assessment or Health Services,NA
Health Services,Nutrition Services,97803,Encounter,0.25,Assessment or Health Services,NA
Health Services,Nutrition Services,97804,Encounter,0.25,Health Services,NA
Outpatient Treatment,Accupuncture,97810,15 min,0.25,Accupuncture,NA
Outpatient Treatment,Accupuncture,97811,15 min,0.25,Substance Abuse: Acupuncture,NA
Psychiatric and Medication Services,Psychiatric office visit,99201,Add On,1,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99202,Add On,1,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99203,Add On,1,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99204,Add On,NA,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99205,Add On,1,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99211,Add On,1,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99212,Add On,NA,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99213,Add On,NA,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99214,Add On,0.25,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99215,Add On,0.25,Psychiatric office visit,NA
Hospital Based Services,Inpatient physician care,99221,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99222,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99223,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99224,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99225,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99231,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99232,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Inpatient physician care,99233,Per Diem,24,Additional Codes-Physician Services,NA
Hospital Based Services,Hospital discharge management,99238,Encounter - 30 min,0.5,Additional Codes-Physician Services,NA
Hospital Based Services,Hospital discharge management,99239,Encounter - > 30 min,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric office visit,99241,Encounter,0.25,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99242,Encounter,NA,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99243,Encounter,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric office visit,99244,Encounter,NA,Psychiatric office visit,NA
Psychiatric and Medication Services,Psychiatric office visit,99245,Encounter,NA,Psychiatric office visit,NA
Hospital Based Services,Inpatient consultation,99251,Encounter,NA,Inpatient consultation,NA
Hospital Based Services,Inpatient consultation,99252,Encounter,0,Inpatient consultation,NA
Hospital Based Services,Inpatient consultation,99253,Encounter,NA,Inpatient consultation,NA
Hospital Based Services,Inpatient consultation,99254,Encounter,NA,Inpatient consultation,NA
Hospital Based Services,Inpatient consultation,99255,Encounter,NA,Inpatient consultation,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99261,Encounter,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99262,Encounter,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99263,Encounter,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99274,Encounter,NA,Additional Codes-Physician Services,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99304,Encounter,0.42,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99305,Encounter,0.58,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99306,Encounter,NA,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99307,Encounter,NA,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99308,Encounter,0.25,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99309,Encounter,0.42,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99310,Encounter,0.58,Nursing Facility Services evaluation and management,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99324,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99325,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99326,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99327,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99328,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99334,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99335,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99336,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99337,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99341,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99342,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99345,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99347,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99348,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99349,Encounter,NA,Assessment,NA
Psychiatric and Medication Services,Psychiatric visit (out of office),99350,Encounter,0.83,Assessment,NA
Psychiatric and Medication Services,Medication Administration,99506,Encounter,0.25,Medication Administration,NA
Psychiatric and Medication Services,Medication Management,99605,15 min,0.25,Mtms by pharm np 15 min,"MEDICATION THERAPY MANAGEMENT SERVICE(S) PROVIDED BY A PHARMACIST, INDIVIDUAL, FACE-TO-FACE WITH PATIENT, WITH ASSESSMENT AND INTERVENTION IF PROVIDED; INITIAL 15 MINUTES, NEW PATIENT"
Hospital Based Services,Inpatient Psychiatric Hospital,0039PT73,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0100PT22,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0100PT65,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0100PT68,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0100PT73,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0114PT68,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,0114PT73,Per Diem,24,Inpatient Psychiatric Hospital,NA
Screening & Assessment,ABA Behavior Assessment,0359T,Encounter,NA,ABA Behavior Identification Assessment,NA
Screening & Assessment,ABA Behavior Assessment,0362T,Encounter - 30 min,0.5,Bhv id suprt assmt ea 15 min,"BEHAVIOR IDENTIFICATION SUPPORTING ASSESSMENT, EACH 15 MINUTES OF TECHNICIANS' TIME FACE-TO-FACE WITH A PATIENT, REQUIRING THE FOLLOWING COMPONENTS: ADMINISTRATION BY THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL WHO IS ON SITE; WITH THE ASSISTANCE OF TWO OR MORE TECHNICIANS; FOR A PATIENT WHO EXHIBITS DESTRUCTIVE BEHAVIOR; COMPLETION IN AN ENVIRONMENT THAT IS CUSTOMIZED TO THE PATIENT'S BEHAVIOR."
Screening & Assessment,ABA Behavior Assessment,0363T,Encounter - 30 min,0.5,ABA Behavioral Follow-up Assessment,NA
Behavioral Treatment,ABA Individual Treatment,0364T,Encounter - 30 min,0.5,ABA Adaptive Treatment,NA
Behavioral Treatment,ABA Individual Treatment,0365T,Encounter - 30 min,0.5,ABA Adaptive Treatment,NA
Behavioral Treatment,ABA Group Treatment,0366T,Encounter - 30 min,0.5,ABA Group Adaptive Behavior Treatment,NA
Behavioral Treatment,ABA Group Treatment,0367T,Encounter - 30 min,0.5,ABA Group Adaptive Behavior Treatment,NA
Behavioral Treatment,ABA Supervision,0368T,Encounter - 30 min,0.5,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,NA
Behavioral Treatment,ABA Supervision,0369T,Encounter - 30 min,0.5,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,NA
Behavioral Treatment,ABA Family Behavior Treatment Guidance,0370T,Encounter,NA,ABA Family Behavior Treatment Guidance,NA
Behavioral Treatment,ABA Supervision,0371T,Encounter,NA,ABA Family Behavior Treatment Guidance,NA
Behavioral Treatment,ABA Group Treatment,0372T,Encounter,NA,ABA Adaptive Behavior Treatment Social Skills Group,NA
Behavioral Treatment,ABA Exposure Adaptive Behavior Treatment,0373T,15 min,0.25,Adapt bhv tx ea 15 min,"ADAPTIVE BEHAVIOR TREATMENT WITH PROTOCOL MODIFICATION, EACH 15 MINUTES OF TECHNICIANS' TIME FACE-TO-FACE WITH A PATIENT, REQUIRING THE FOLLOWING COMPONENTS: ADMINISTRATION BY THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL WHO IS ON SITE; WITH THE ASSISTANCE OF TWO OR MORE TECHNICIANS; FOR A PATIENT WHO EXHIBITS DESTRUCTIVE BEHAVIOR; COMPLETION IN AN ENVIRONMENT THAT IS CUSTOMIZED TO THE PATIENT'S BEHAVIOR."
Behavioral Treatment,ABA Exposure Adaptive Behavior Treatment,0374T,Encounter - 30 min,0.5,ABA Exposure Adaptive Behavior Treatment,NA
Hospital Based Services,Inpatient Psychiatric Hospital,040PT68,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,100PT65,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,100PT68,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,100PT73,Per Diem,24,Inpatient Psychiatric Hospital,NA
Transportation,Transportation mileage and fees,A0080,Mile,0.25,Transportation,NA
Transportation,Transportation mileage and fees,A0090,Mile,NA,Transportation,NA
Transportation,Transportation,A0100,Encounter,0.58,Transportation,NA
Transportation,Transportation,A0110,Encounter,NA,Transportation,NA
Transportation,Transportation,A0120,Encounter,NA,Transportation,NA
Transportation,Transportation,A0130,Encounter,NA,Transportation,NA
Transportation,Transportation,A0140,Encounter,NA,Transportation,NA
Transportation,Transportation mileage and fees,A0160,Mile,NA,Transportation,NA
Transportation,Transportation mileage and fees,A0170,Mile,NA,Transportation,NA
Transportation,Transportation mileage and fees,A0425,Mile,NA,Additional Codes-Transportation,NA
Transportation,Ambulance transport,A0427,Encounter,NA,Additional Codes-Transportation,NA
Transportation,Ambulance transport,A0428,Encounter,NA,Additional codes - Transportation,NA
Health Services,Dental,D0150,Encounter,NA,General dental services,NA
Health Services,Dental,D0180,Encounter,NA,Comp periodontal evaluation,NA
Health Services,Dental,D1110,Encounter,NA,Prophylaxis Adult,NA
Health Services,Dental,D2330,Encounter,NA,"Resin based comp-one surface, ant",NA
Health Services,Dental,D2332,Encounter,NA,"Resin based comp-three surfaces, an",NA
Health Services,Dental,D2391,Encounter,NA,"Resin based comp-one surface, post",NA
Equipment/Supplies,Durable medical equipment,E1399,Item,NA,Durable medical equipment mi,"DURABLE MEDICAL EQUIPMENT, MISCELLANEOUS"
Health Services,Occupational Therapy and Physical Therapy,G0176,Encounter,NA,Opps/php;activity therapy,"ACTIVITY THERAPY, SUCH AS MUSIC, DANCE, ART OR PLAY THERAPIES NOT FOR RECREATION, RELATED TO THE CARE AND TREATMENT OF PATIENT'S DISABLING MENTAL HEALTH PROBLEMS, PER SESSION (45 MINUTES OR MORE)"
Family Education and Support,Family Psycho-Education,G0177,Session - at least 45 min,0.75,Opps/php; train & educ serv,TRAINING AND EDUCATIONAL SERVICES RELATED TO THE CARE AND TREATMENT OF PATIENT'S DISABLING MENTAL HEALTH PROBLEMS PER SESSION (45 MINUTES OR MORE)
Psychiatric and Medication Services,Medication Administration,G0351,Encounter,NA,Medication administration,NA
Outpatient Treatment,Individual Therapy,G0409,15 min,0.25,Substance Abuse: Recovery Support Services,NA
Health Services,Occupational Therapy and Physical Therapy,G0515,15 min,0.25,Cognitive skills development,"DEVELOPMENT OF COGNITIVE SKILLS TO IMPROVE ATTENTION, MEMORY, PROBLEM SOLVING (INCLUDES COMPENSATORY TRAINING), DIRECT (ONE-ON-ONE) PATIENT CONTACT, EACH 15 MINUTES"
Screening & Assessment,Assessment,H0001,Encounter,NA,Assessment,NA
Screening & Assessment,Drug/alcohol screen,H0002,Encounter,NA,Drug/alcohol screen,NA
Screening & Assessment,Drug/alcohol screen,H0003,Encounter,NA,Drug/alcohol screen,NA
Outpatient Treatment,Alcohol/drug therapy,H0004,15 min,0.25,Alcohol/drug therapy,NA
Outpatient Treatment,Group Therapy,H0005,Encounter,NA,Group Therapy,NA
Coordination and Planning,Case Management,H0006,Encounter,NA,Case Management,NA
Sub-acute Withdrawal Management,Residential Detox with Medical Monitoring,H0010,Per Diem,24,Residential Detox with Medical Monitoring,NA
Sub-acute Withdrawal Management,Residential Detox without Medical Monitoring,H0012,Per Diem,24,Substance Abuse: Sub-Acute Detoxification,NA
Sub-acute Withdrawal Management,Ambulatory / Social Detox,H0014,Per Diem,24,Substance Abuse: Sub-Acute Detoxification,NA
Outpatient Treatment,Intensive Outpatient,H0015,Per Diem,24,Intensive Outpatient,NA
Crisis Services,Short-Term Residential,H0018,Per Diem,24,Short-Term Residential,NA
Home & Community Based Services,Long-term Residential (SUD),H0019,Per Diem,24,Long-term Residential (SUD),NA
Psychiatric and Medication Services,Medication Administration,H0020,Encounter,NA,Medication Administration,NA
Outpatient Treatment,Early Intervention,H0022,Encounter,NA,Early Intervention,NA
Peer Services,Drop-in Center,H0023,Encounter,NA,Drop-in Center,NA
Outpatient Treatment,Prevention services,H0025,Encounter,NA,Prevention Services - Direct Model,NA
Crisis Services,Crisis Line,H0030,Encounter,NA,Crisis Intervention,NA
Screening & Assessment,Assessment,H0031,Encounter,NA,Assessment,NA
Coordination and Planning,Treatment Planning,H0032,Encounter,NA,Treatment Planning,NA
Psychiatric and Medication Services,Medication Administration,H0033,Encounter,NA,Medication Administration,NA
Psychiatric and Medication Services,Medication Training,H0034,15 min,0.25,Health Services,NA
Intensive Community-Based Treatment,Home-based services,H0036,15 min,0.25,Home Based Services,NA
Peer Services,Peer Support,H0038,15 min,0.25,Peer Support,NA
Intensive Community-Based Treatment,Assertive Community Treatment,H0039,15 min,0.25,Assertive Community Treatment (ACT),NA
Home & Community Based Services,Supported Independent Living,H0043,Per Diem,24,Community Living Supports in Independent living/own home,NA
Respite,Respite stay (per diem),H0045,Per Diem,24,Respite stay (per diem),NA
Peer Services,Peer Support,H0046,Encounter,NA,Peer Directed and Operated Support Services,NA
Screening & Assessment,Laboratory,H0048,Encounter,NA,Laboratory,NA
Screening & Assessment,Drug/alcohol screen,H0049,Encounter,NA,Substance Abuse: Individual Assessment,NA
Outpatient Treatment,Alcohol/drug therapy,H0050,15 min,0.25,Substance Abuse: Outpatient Treatment,NA
Behavioral Treatment,Behavior Treatment Review,H2000,Encounter,NA,Behavior Treatment Review,NA
Psychiatric and Medication Services,Comprehensive Medication Services,H2010,15 min,0.25,Comprehensive Medication Services - EBP only,NA
Crisis Services,Crisis Intervention,H2011,15 min,0.25,Crisis Intervention,NA
Employment Services,Skill-Building/Non-Vocational,H2014,15 min,0.25,Skill-Building/Non-Vocational,NA
Home & Community Based Services,Community Living Supports 15 minutes,H2015,15 min,0.25,Community Living Supports 15 minutes,NA
Home & Community Based Services,CLS per diem,H2016,Per Diem,24,Community Living Supports (Daily),NA
Outpatient Treatment,Behavioral Therapy,H2019,15 min,0.25,Behavioral Therapy,NA
Crisis Services,Crisis Intervention (per diem),H2020,Per Diem,24,Crisis Intervention,NA
Intensive Community-Based Treatment,Wraparound services,H2021,15 min,0.25,Wraparound,NA
Intensive Community-Based Treatment,Wraparound services,H2022,Per Diem,24,Wraparound services,NA
Employment Services,Supported Employment,H2023,15 min,0.25,Supported Employment Services,NA
Outpatient Treatment,Psychoeducation,H2027,15 min,0.25,Psychoeducation,NA
Employment Services,Clubhouse Psychosocial Rehabilitation,H2030,15 min,0.25,Clubhouse Psychosocial Rehabilitation Programs,NA
Intensive Community-Based Treatment,Multi-systemic therapy,H2033,15 min,0.25,Home Based Services,NA
Home & Community Based Services,Recovery Housing,H2034,Per Diem,24,Substance Use Disorder: Recovery Housing,NA
Outpatient Treatment,Alcohol/drug therapy,H2035,Hour,1,Alcohol/drug therapy,NA
Outpatient Treatment,Alcohol/drug therapy,H2036,Per Diem,24,Alcohol/drug therapy,NA
Psychiatric and Medication Services,Medication Management,M0064,Encounter,0.17,Medication Review,NA
Telemedicine,Telehealth facility fee,Q3014,Encounter,NA,Telemedicine Facility Fee,NA
Transportation,Transportation mileage and fees,S0209,Mile,NA,Transportation,NA
Transportation,Transportation mileage and fees,S0215,Mile,NA,Transportation,NA
Family Education and Support,Homecare training (15 min),S5108,15 min,0.25,Homecare training (15 min),NA
Family Education and Support,Homecare training (15 min),S5110,15 min,0.25,Homecare training (15 min),NA
Family Education and Support,Homecare training sessions,S5111,Encounter,24,Homecare training sessions,NA
Family Education and Support,Homecare training sessions,S5116,Encounter,24,"Home Care Training, Non-Family (Children's Waiver)",NA
Home & Community Based Services,Chore services,S5120,15 min,0.25,Chore Services,NA
Home & Community Based Services,Foster care,S5140,Per Diem,24,Foster Care,NA
Home & Community Based Services,Foster care,S5145,Per Diem,24,Foster Care,NA
Respite,Respite services (15 min),S5150,15 min,0.25,Respite,NA
Respite,Respite stay (per diem),S5151,Per Diem,24,Respite stay (per diem),NA
Equipment/Supplies,Emergency response system,S5160,Item,NA,Personal Emergency Response System (PERS),NA
Equipment/Supplies,Emergency response system,S5161,Monthly,720,Personal Emergency Response System (PERS),NA
Equipment/Supplies,Home and vehicle modifications,S5165,Item,NA,Environmental Modification,NA
Equipment/Supplies,Specialized supplies,S5199,Item,NA,Enhanced Medical Equipment-Supplies,NA
Health Services,Occupational Therapy and Physical Therapy,S8990,Encounter,NA,Occupational or Physical Therapy,NA
Health Services,Private duty nursing (per hour),S9123,Hour,1,Private Duty Nursing,NA
