CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost,FirstOfDD Totals,FirstOfDD Unique Consumers
Barry,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80302,,each procedure,0,0,0,0,4795043.97,169
Barry,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80303,,per date of service ,0,0,0,0,4795043.97,169
Barry,Drug Screen for Methadone Clients Only - Note: retired 12/31/16,,80304,,each procedure,0,0,0,0,4795043.97,169
Barry,Drug Screen,,80305,,Encounter,0,0,0,0,4795043.97,169
Barry,Drug Screen,,80306,,Encounter,0,0,0,0,4795043.97,169
Barry,Drug Screen,,80307,,Encounter,0,0,0,0,4795043.97,169
Barry,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment for Autism,,90785,U5,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,"90791
",,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment for Autism,,90791,U5,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,90792,,Encounter,2,2,1314.45,39629.17,4795043.97,169
Barry,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment for Autism,,90792,U5,Encounter,0,0,0,0,4795043.97,169
Barry,Mental Health: Outpatient Care,,90832,,30 Minutes,4,8,636.48,28851.76,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,4795043.97,169
Barry,Assessment,,90833,,30 Minutes,0,0,0,0,4795043.97,169
Barry,Mental Health: Outpatient Care,,90834,,45 Minutes,13,61,13988.12,466256.33,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,4795043.97,169
Barry,Assessment,,90836,,45 Minutes,0,0,0,0,4795043.97,169
Barry,Mental Health: Outpatient Care,,90837,,60 Minutes,5,14,4815.58,276173.29,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,4795043.97,169
Barry,Assessment,,90838,,60 Minutes,0,0,0,0,4795043.97,169
Barry,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,0,4795043.97,169
Barry,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,114.65,4795043.97,169
Barry,Therapy-Family Therapy,,90846,,Encounter,0,0,0,12073.04,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Therapy-Family Therapy,,90847,,Encounter,0,0,0,125725.21,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,4795043.97,169
Barry,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Therapy-Group Therapy,,90853,,Encounter,2,3,350.11,71130.22,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,4795043.97,169
Barry,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessments-Other,,90887,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92507,,Encounter,18,265,8336.73,10844.84,4795043.97,169
Barry,Speech & Language Therapy ,,92508,,Encounter,14,47,628.03,628.03,4795043.97,169
Barry,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92523,,Encounter,15,17,1740.32,1842.69,4795043.97,169
Barry,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,4795043.97,169
Barry,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,4795043.97,169
Barry,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0,4795043.97,169
Barry,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0,4795043.97,169
Barry,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0,4795043.97,169
Barry,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0,4795043.97,169
Barry,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,6,6,1375.88,4356.95,4795043.97,169
Barry,Assessment for Autism,,96101,U5,Hour,0,0,0,0,4795043.97,169
Barry,Psychological Testing by Technician ,,96102,,Per Hour,3,5,1146.56,2063.82,4795043.97,169
Barry,Assessment for Autism,,96102,U5,Hour,0,0,0,0,4795043.97,169
Barry,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0,4795043.97,169
Barry,Assessments-Other,,96105,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessments-Other,,96110,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessments-Other,,96111,,Encounter,0,0,0,0,4795043.97,169
Barry,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0,4795043.97,169
Barry,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0,4795043.97,169
Barry,Assessment for Autism,,96118,U5,Hour,0,0,0,0,4795043.97,169
Barry,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0,4795043.97,169
Barry,Assessment for Autism,,96119,U5,Hour,0,0,0,0,4795043.97,169
Barry,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0,4795043.97,169
Barry,Assessments-Other,,96127,,,0,0,0,0,4795043.97,169
Barry,Medication Administration,,96372,,Encounter,1,1,88.03,19305.44,4795043.97,169
Barry,Physical Therapy - Note: retired 1/1/17,,97001,,Encounter,0,0,0,0,4795043.97,169
Barry,Physical Therapy - Note: retired 1/1/17,,97002,,Encounter,0,0,0,0,4795043.97,169
Barry,Occupational Therapy - Note: retired 1/1/17,,97003,,Encounter,0,0,0,143.32,4795043.97,169
Barry,Occupational Therapy - Note: retired 1/1/17,,97004,,Encounter,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97110,,15 Minutes,14,1171,32604.68,39914.05,4795043.97,169
Barry,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,4795043.97,169
Barry,Physical Therapy,,97161,,Encounter,0,0,0,0,4795043.97,169
Barry,Physical Therapy,,97162,,Encounter,0,0,0,0,4795043.97,169
Barry,Physical Therapy,,97163,,Encounter,0,0,0,0,4795043.97,169
Barry,Physical Therapy,,97164,,Encounter,0,0,0,0,4795043.97,169
Barry,Occupational Therapy,,97165,,Encounter,15,16,1089.23,1089.23,4795043.97,169
Barry,Occupational Therapy,,97166,,Encounter,3,3,322.47,859.92,4795043.97,169
Barry,Occupational Therapy,,97167,,Encounter,0,0,0,143.32,4795043.97,169
Barry,Occupational Therapy,,97168,,Encounter,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0,4795043.97,169
Barry,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,0,4795043.97,169
Barry,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Health Services,,97804,,30 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0,4795043.97,169
Barry,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,4795043.97,169
Barry,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,4795043.97,169
Barry,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,4795043.97,169
Barry,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,4795043.97,169
Barry,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0,616.27,4795043.97,169
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Established Patient Evaluation and Management,,99212,,Encounter,9,9,1513.12,13351.02,4795043.97,169
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Established Patient Evaluation and Management,,99213,,Encounter,22,23,6725.68,50115.2,4795043.97,169
Barry,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Established Patient Evaluation and Management,,99214,,Encounter,26,53,11551.75,102659.5,4795043.97,169
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Established Patient Evaluation and Management,,99215,,Encounter,1,1,329.63,720.08,4795043.97,169
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,100.95,4795043.97,169
Barry,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,0,4795043.97,169
Barry,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,201.9,4795043.97,169
Barry,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,4795043.97,169
Barry,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,4795043.97,169
Barry,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0,605.72,4795043.97,169
Barry,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0,321.79,4795043.97,169
Barry,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,211.37,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,4795043.97,169
Barry,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,4795043.97,169
Barry,Assessment,,99324,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99325,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99326,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99327,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99328,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99334,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99335,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99336,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99337,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99341,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99342,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99343,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99344,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99345,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99347,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99348,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99349,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment,,99350,,Encounter,0,0,0,0,4795043.97,169
Barry,Medication Administration,,99506,,Encounter,0,0,0,0,4795043.97,169
Barry,Medication Management,,99605,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Transportation,,A0080,,Per mile,0,0,0,0,4795043.97,169
Barry,Transportation,,A0090,,Per mile,0,0,0,0,4795043.97,169
Barry,Transportation,,A0100,,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Transportation,,A0110,,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Transportation,,A0120,,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Transportation,,A0130,,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Transportation,,A0140,,Per one-way trip,0,0,0,0,4795043.97,169
Barry,Transportation,,A0170,,,0,0,0,0,4795043.97,169
Barry,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,0,4795043.97,169
Barry,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,0,4795043.97,169
Barry,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0,0,4795043.97,169
Barry,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0,0,4795043.97,169
Barry,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0,0,4795043.97,169
Barry,Assessment ,,H0002,,Encounter,1,1,114.65,17849.59,4795043.97,169
Barry,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,233.4,4795043.97,169
Barry,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,906,H0015,,Day,0,0,0,0,4795043.97,169
Barry,Crisis Residential Services,,H0018,,Day,0,0,0,55521.44,4795043.97,169
Barry,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0,4795043.97,169
Barry,Peer Directed and Operated Support Services,,H0023,,Encounter,11,579,30822.18,70374.66,4795043.97,169
Barry,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,4795043.97,169
Barry,Assessment ,,H0031,,Encounter,131,132,23035.23,224579.48,4795043.97,169
Barry,Assessment for Autism,,H0031,U5,Encounter,11,17,5618.17,13486.49,4795043.97,169
Barry,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0,0,4795043.97,169
Barry,Treatment Planning,,H0032,,Encounter,24,24,5325.39,154064,4795043.97,169
Barry,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,4795043.97,169
Barry,Health Services,,H0034,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Home Based Services,,H0036,,15 Minutes,0,0,0,203726.57,4795043.97,169
Barry,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,4795043.97,169
Barry,Peer Directed and Operated Support Services,,H0038,,15 minutes,11,416,18312.31,30924.55,4795043.97,169
Barry,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,4795043.97,169
Barry,Peer Directed and Operated Support Services,,NA,,,0,0,0,54219.07,4795043.97,169
Barry,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0,0,4795043.97,169
Barry,Respite,,H0045,,Day,0,0,0,1009.53,4795043.97,169
Barry,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0,0,4795043.97,169
Barry,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,17,45,5435.95,8335.13,4795043.97,169
Barry,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,4795043.97,169
Barry,Crisis Intervention,,H2011,,15 Minutes,3,9,843.54,42760.53,4795043.97,169
Barry,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,4795043.97,169
Barry,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,1,2317,5092.41,33156.86,4795043.97,169
Barry,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,0,4795043.97,169
Barry,Community Living Supports (15 Minutes),,H2015,,15 Minutes,77,85238,935397.79,1024631.84,4795043.97,169
Barry,Community Living Supports (Daily),,H2016,,Per Diem,36,12189,1439608,1930121.61,4795043.97,169
Barry,Behavior Services,,H2019,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0,4795043.97,169
Barry,Wraparound,,H2021,,15 Minutes,0,0,0,82700.26,4795043.97,169
Barry,Supported Employment Services,,H2023,,15 minutes,2,114,3205.89,3205.89,4795043.97,169
Barry,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,4795043.97,169
Barry,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Home Based Services,,H2033,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,4795043.97,169
Barry,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0,0,4795043.97,169
Barry,Transportation,,S0209,,Per Mile,0,0,0,0,4795043.97,169
Barry,Transportation,,S0215,,Per Mile,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0,0,4795043.97,169
Barry,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Family Training,,S5111,,Encounter,0,0,0,0,4795043.97,169
Barry,Family Training,,S5111,HA,Encounter,0,0,0,0,4795043.97,169
Barry,Family Training,,S5111,HM,Encounter,0,0,0,5518.01,4795043.97,169
Barry,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0,4795043.97,169
Barry,Foster Care,,S5140,,Day,0,0,0,0,4795043.97,169
Barry,Foster Care,,S5145,,Day,0,0,0,0,4795043.97,169
Barry,Respite,,S5150,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Respite,,S5151,,Per Diem,0,0,0,0,4795043.97,169
Barry,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,4795043.97,169
Barry,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,4795043.97,169
Barry,Environmental Modification ,,S5165,,Service,0,0,0,0,4795043.97,169
Barry,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0,4795043.97,169
Barry,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,582,S9123,,Hour,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,S9123,,Hour,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,S9123,TT,Hour,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,582,S9124,,Hour,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,S9124,,Hour,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,S9124,TT,Hour,0,0,0,0,4795043.97,169
Barry,Health Services,,S9445,,Encounter,2,2,176.07,11203.6,4795043.97,169
Barry,Health Services,,S9446,,Encounter,3,30,614.23,921.34,4795043.97,169
Barry,Health Services,,S9470,,Encounter,0,0,0,0,4795043.97,169
Barry,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0,4795043.97,169
Barry,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,2293.13,4795043.97,169
Barry,Residential Room and Board,,S9976,,Day,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Residential Room and Board,,S9976,HF,Day,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,0,4795043.97,169
Barry,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,0,4795043.97,169
Barry,Assessment,,T1001,,Encounter,1,1,133.08,381.84,4795043.97,169
Barry,Health Services,,T1002,,Up to 15 min,1,1,44.01,1936.87,4795043.97,169
Barry,Respite Care,,T1005,,15 Minutes,14,12912,40907.3,80414.85,4795043.97,169
Barry,Respite Care,,T1005,TD,15 Minutes,1,288,3407.19,3407.19,4795043.97,169
Barry,Respite Care,,T1005,TE,15 Minutes,1,668,6146.61,6146.61,4795043.97,169
Barry,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Treatment Planning,,T1007,HF,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Child Sitting Services,,T1009,,Encounter,0,0,0,0,4795043.97,169
Barry,Substance Use Disorder: Recovery Support Services,,T1012,,Encounter,0,0,0,0,4795043.97,169
Barry,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0,4795043.97,169
Barry,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,114,1571,324613.35,420151.07,4795043.97,169
Barry,Targeted Case Management ,,T1017,,15 minutes,47,723,149510.32,455475.9,4795043.97,169
Barry,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,8,41,6379.82,13226.47,4795043.97,169
Barry,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,36,12189,1415000.66,1732941.51,4795043.97,169
Barry,Assessments,,T1023,,Encounter,2,2,917.25,68785.84,4795043.97,169
Barry,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0,4795043.97,169
Barry,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0,0,4795043.97,169
Barry,Transportation,,T2001,,Encounter,0,0,0,0,4795043.97,169
