CMH Name,FirstOfService description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIC-Cases,SumOfMIC-Units,SumOfMIC-Cost
Gratiot,Assessment for Autism,,90792,U5,Encounter,0,0,0
Gratiot,Mental Health: Outpatient Care,,90832,,30 Minutes,34,71,8559
Gratiot,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0
Gratiot,Assessment,,90833,,30 Minutes,0,0,0
Gratiot,Mental Health: Outpatient Care,,90834,,45 Minutes,80,505,69924
Gratiot,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0
Gratiot,Assessment,,90836,,45 Minutes,0,0,0
Gratiot,Mental Health: Outpatient Care,,90837,,60 Minutes,74,229,45775
Gratiot,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0
Gratiot,Assessment,,90838,,60 Minutes,0,0,0
Gratiot,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0
Gratiot,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0
Gratiot,Therapy-Family Therapy,,90846,,Encounter,11,41,6049
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0
Gratiot,Therapy-Family Therapy,,90847,,Encounter,3,11,1382
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0
Gratiot,Therapy-Family Therapy,,90849,,Encounter,7,30,3769
Gratiot,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0
Gratiot,Therapy-Group Therapy,,90853,,Encounter,1,9,731
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0
Gratiot,Pharmacological Management (SED Waiver),,90863,,,0,0,0
Gratiot,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0
Gratiot,Additional Codes-ECT Physician,0901,90870,,Encounter,0,0,0
Gratiot,Assessments-Other,,90887,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92507,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92508,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92521,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92522,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92523,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92524,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92526,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92607,,First Hour,0,0,0
Gratiot,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0
Gratiot,Speech & Language Therapy ,,92609,,Encounter,0,0,0
Gratiot,Speech & Language Therapy ,,92610,,Encounter,0,0,0
Gratiot,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0,0,0
Gratiot,Assessment for Autism,,96101,U5,Hour,20,117,18492
Gratiot,Psychological Testing by Technician ,,96102,,Per Hour,0,0,0
Gratiot,Assessment for Autism,,96102,U5,Hour,0,0,0
Gratiot,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0
Gratiot,Assessments-Other,,96105,,Encounter,0,0,0
Gratiot,Assessments-Other,,96110,,Encounter,0,0,0
Gratiot,Assessments-Other,,96111,,Encounter,0,0,0
Gratiot,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0
Gratiot,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0
Gratiot,Assessment for Autism,,96118,U5,Hour,0,0,0
Gratiot,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0
Gratiot,Assessment for Autism,,96119,U5,Hour,0,0,0
Gratiot,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0
Gratiot,Assessments-Other,,96127,,,0,0,0
Gratiot,Medication Administration,,96372,,Encounter,0,0,0
Gratiot,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97150,,Encounter,0,0,0
Gratiot,Physical Therapy,,97161,,Encounter,0,0,0
Gratiot,Physical Therapy,,97162,,Encounter,0,0,0
Gratiot,Physical Therapy,,97163,,Encounter,0,0,0
Gratiot,Physical Therapy,,97164,,Encounter,0,0,0
Gratiot,Occupational Therapy,,97165,,Encounter,0,0,0
Gratiot,Occupational Therapy,,97166,,Encounter,0,0,0
Gratiot,Occupational Therapy,,97167,,Encounter,0,0,0
Gratiot,Occupational Therapy,,97168,,Encounter,0,0,0
Gratiot,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0
Gratiot,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,97532,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0
Gratiot,Occupational Therapy,,97755,,15 Minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0
Gratiot,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,97762,,15 minutes,0,0,0
Gratiot,Occupational or Physical Therapy,,97763,,15 Minutes,0,0,0
Gratiot,Assessment or Health Services,,97802,,15 Minutes,2,11,409
Gratiot,Assessment or Health Services,,97803,,15 Minutes,1,18,589
Gratiot,Health Services,,97804,,30 Minutes,0,0,0
Gratiot,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0
Gratiot,New Patient Evaluation and Management,,99201,,Encounter,0,0,0
Gratiot,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0
Gratiot,New Patient Evaluation and Management,,99202,,Encounter,0,0,0
Gratiot,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0
Gratiot,New Patient Evaluation and Management,,99203,,Encounter,0,0,0
Gratiot,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0
Gratiot,New Patient Evaluation and Management,,99204,,Encounter,0,0,0
Gratiot,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0
Gratiot,New Patient Evaluation and Management,,99205,,Encounter,0,0,0
Gratiot,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0
Gratiot,Established Patient Evaluation and Management,,99211,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0
Gratiot,Established Patient Evaluation and Management,,99212,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0
Gratiot,Established Patient Evaluation and Management,,99213,,Encounter,11,14,1681
Gratiot,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0
Gratiot,Established Patient Evaluation and Management,,99214,,Encounter,24,56,9090
Gratiot,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0
Gratiot,Established Patient Evaluation and Management,,99215,,Encounter,3,5,1002
Gratiot,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0
Gratiot,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99222,,50 Minutes,1,1,156
Gratiot,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99231,,15 Minutes,2,14,823
Gratiot,Additional Codes-Physician Services,,99232,,25 minutes,2,5,457
Gratiot,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0
Gratiot,Additional Codes-Physician Services,,99238,,<= 30 Minutes,2,2,183
Gratiot,Additional Codes-Physician Services,,99239,,> 30 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99253,HF,55 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99254,HF,80 Minutes,0,0,0
Gratiot,Substance Use Disorder: Physician Consultations,,99255,HF,110 Minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0
Gratiot,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0
Gratiot,Assessment,,99324,,Encounter,0,0,0
Gratiot,Assessment,,99325,,Encounter,0,0,0
Gratiot,Assessment,,99326,,Encounter,0,0,0
Gratiot,Assessment,,99327,,Encounter,0,0,0
Gratiot,Assessment,,99328,,Encounter,0,0,0
Gratiot,Assessment,,99334,,Encounter,0,0,0
Gratiot,Assessment,,99335,,Encounter,0,0,0
Gratiot,Assessment,,99336,,Encounter,0,0,0
Gratiot,Assessment,,99337,,Encounter,0,0,0
Gratiot,Assessment,,99341,,Encounter,0,0,0
Gratiot,Assessment,,99342,,Encounter,0,0,0
Gratiot,Assessment,,99343,,Encounter,0,0,0
Gratiot,Assessment,,99344,,Encounter,0,0,0
Gratiot,Assessment,,99345,,Encounter,0,0,0
Gratiot,Assessment,,99347,,Encounter,0,0,0
Gratiot,Assessment,,99348,,Encounter,0,0,0
Gratiot,Assessment,,99349,,Encounter,0,0,0
Gratiot,Assessment,,99350,,Encounter,0,0,0
Gratiot,Medication Administration,,99506,,Encounter,0,0,0
Gratiot,Medication Management,,99605,,15 Minutes,0,0,0
Gratiot,Transportation,,A0080,,Per mile,0,0,0
Gratiot,Transportation,,A0090,,Per mile,0,0,0
Gratiot,Transportation,,A0100,,Per one-way trip,0,0,0
Gratiot,Substance Use Disorder: Transportation,,A0100,HF,Per one-way trip,0,0,0
Gratiot,Transportation,,A0110,,Per one-way trip,0,0,0
Gratiot,Substance Use Disorder: Transportation,,A0110,HF,Per one-way trip,0,0,0
Gratiot,Transportation,,A0120,,Per one-way trip,0,0,0
Gratiot,Transportation,,A0130,,Per one-way trip,0,0,0
Gratiot,Transportation,,A0140,,Per one-way trip,0,0,0
Gratiot,Transportation,,A0170,,,0,0,0
Gratiot,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0
Gratiot,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0
Gratiot,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0
Gratiot,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0
Gratiot,Substance Use Disorder: Recovery Support Services,,G0409,,15 Minutes,0,0,0
Gratiot,Occupational Therapy,,G0515,,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Individual Assessment,,H0001,,Encounter,0,0,0
Gratiot,Assessment ,,H0002,,Encounter,62,68,14185
Gratiot,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0
Gratiot,Substance Use Disorder: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0
Gratiot,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0
Gratiot,Substance Use Disorder: Outpatient Care,0906,H0015,,Day,0,0,0
Gratiot,Crisis Residential Services,,H0018,,Day,0,0,0
Gratiot,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0
Gratiot,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0
Gratiot,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0
Gratiot,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0
Gratiot,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0
Gratiot,Assessment ,,H0031,,Encounter,238,256,38578
Gratiot,Assessment for Autism,,H0031,U5,Encounter,0,0,0
Gratiot,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0
Gratiot,Treatment Planning,,H0032,,Encounter,223,323,41502
Gratiot,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,0,0,0
Gratiot,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0
Gratiot,Health Services,,H0034,,15 Minutes,0,0,0
Gratiot,Home Based Services,,H0036,,15 Minutes,78,7297,321855
Gratiot,Home Based Services,,H0036,ST,15 Minutes,6,9444,33938
Gratiot,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0
Gratiot,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0
Gratiot,Peer Directed and Operated Support Services,,NA,,,0,0,0
Gratiot,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0
Gratiot,Assertive Community Treatment (ACT),,H0039,TG,15 Minutes,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,,Per Diem,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,TF,Per Diem,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,TG,Per Diem,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,TT,Per Diem,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,TF/TT,Per Diem,0,0,0
Gratiot,Community Living Supports in Independent living/own home,,H0043,TG/TT,Per Diem,0,0,0
Gratiot,Respite,,H0045,,Day,0,0,0
Gratiot,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0
Gratiot,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0
Gratiot,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0,0,0
Gratiot,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0
Gratiot,Crisis Intervention,,H2011,,15 Minutes,39,111,6042
Gratiot,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0
Gratiot,Crisis Intervention,,H2011,TJ,15 Minutes,0,0,0
Gratiot,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,0,0,0
Gratiot,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0
Gratiot,Community Living Supports (15 Minutes),,H2015,,15 Minutes,2,469,10967
Gratiot,Community Living Supports (15 Minutes),,H2015,TT,15 Minutes,0,0,0
Gratiot,Community Living Supports (Daily),,H2016,,Per Diem,0,0,0
Gratiot,Behavior Services,,H2019,,15 Minutes,0,0,0
Gratiot,Behavior Services,,H2019,TT,15 Minutes,0,0,0
Gratiot,Wraparound,,H2021,,15 Minutes,2,28,1600
Gratiot,Wraparound (SED Waiver),,H2022,,Day,0,0,0
Gratiot,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0
Gratiot,Supported Employment Services,,H2023,,15 minutes,1,11,400
Gratiot,Mental Health Therapy,,H2027,,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0
Gratiot,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0
Gratiot,Home Based Services,,H2033,,15 Minutes,0,0,0
Gratiot,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0
Gratiot,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0
Gratiot,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0
Gratiot,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0
Gratiot,Transportation,,S0209,,Per Mile,0,0,0
Gratiot,Transportation,,S0215,,Per Mile,0,0,0
Gratiot,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0
Gratiot,Family Training - EBP,,S5110,,15 Minutes,0,0,0
Gratiot,Family Training,,S5111,,Encounter,5,82,14644
Gratiot,Family Training,,S5111,HA,Encounter,0,0,0
Gratiot,Family Training,,S5111,HM,Encounter,0,0,0
Gratiot,Foster Care,,S5140,,Day,0,0,0
Gratiot,Foster Care,,S5145,,Day,0,0,0
Gratiot,Respite,,S5150,,15 Minutes,0,0,0
Gratiot,Respite,,S5151,,Per Diem,0,0,0
Gratiot,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0
Gratiot,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0
Gratiot,Environmental Modification ,,S5165,,Service,0,0,0
Gratiot,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0
Gratiot,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0
Gratiot,Health Services,,S9445,,Encounter,0,0,0
Gratiot,Health Services,,S9446,,Encounter,0,0,0
Gratiot,Health Services,,S9470,,Encounter,0,0,0
Gratiot,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0
Gratiot,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0
Gratiot,Intensive Crisis Stabilization-Enrolled Program,,S9484,TJ,Hour,0,0,0
Gratiot,Residential Room and Board,,S9976,,Day,0,0,0
Gratiot,Substance Use Disorder: Residential Room and Board,,S9976,HF,Day,0,0,0
Gratiot,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0
Gratiot,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0
Gratiot,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0
Gratiot,Assessment,,T1001,,Encounter,0,0,0
Gratiot,Health Services,,T1002,,Up to 15 min,0,0,0
Gratiot,Respite Care,,T1005,,15 Minutes,2,2640,51893
Gratiot,Respite Care,,T1005,TD,15 Minutes,0,0,0
Gratiot,Respite Care,,T1005,TE,15 Minutes,0,0,0
Gratiot,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0
Gratiot,Substance Use Disorder: Treatment Planning,,T1007,HF,Encounter,0,0,0
Gratiot,Substance Use Disorder: Child Sitting Services,,T1009,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Recovery Support Services,,T1012,,Encounter,0,0,0
Gratiot,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0
Gratiot,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,10,97,3298
Gratiot,Targeted Case Management ,,T1017,,15 minutes,46,1106,58025
Gratiot,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0
Gratiot,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,0,0,0
Gratiot,Assessments,,T1023,,Encounter,58,79,7535
Gratiot,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0
Gratiot,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0
Gratiot,Transportation,,T2001,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Transportation,,T2001,HF,Encounter,0,0,0
Gratiot,Transportation,,T2002,,Per Diem,0,0,0
Gratiot,Substance Use Disorder: Transportation,,T2002,HF,Per Diem,0,0,0
Gratiot,Transportation,,T2003,,Encounter / Trip,0,0,0
Gratiot,Substance Use Disorder: Transportation,,T2003,HF,Encounter / Trip,0,0,0
Gratiot,Transportation,,T2004,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Transportation,,T2004,HF,Encounter,0,0,0
Gratiot,Transportation,,T2005,,Encounter,0,0,0
Gratiot,Substance Use Disorder: Transportation,,T2005,HF,Encounter,0,0,0
Gratiot,Out of Home Prevocational Service,,T2015,,Hour,0,0,0
Gratiot,Prevention Services - Direct Model ,,T2024,,,0,0,0
Gratiot,Fiscal Intermediary Services,,T2025,,Month,2,13,705
Gratiot,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0
Gratiot,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0
Gratiot,Respite Care,,T2036,,Per session. One night = one session,0,0,0
Gratiot,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0
Gratiot,Housing Assistance,,T2038,,Service,0,0,0
Gratiot,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0
Gratiot,Goods and Services ,,T5999,HK,Per Item,0,0,0
Gratiot,Wraparound Services,,T5999,,Per Item,0,0,0
Gratiot,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0
Gratiot,Other,,,,,0,0,0
Gratiot,Aggregate for 'J' Codes,,ALL,,,0,0,0
Hiawatha,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,,PT68,Day,15,209,163335
Hiawatha,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,,PT68,Day,0,0,0
Hiawatha,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0
Hiawatha,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0
Hiawatha,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,4,36,28133
Hiawatha,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0
Hiawatha,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0
Hiawatha,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,1,8,3344
Hiawatha,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0
Hiawatha,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Room and Board,0144,,,Day,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,Day,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of tests,0,0,0
Hiawatha,ECT Anesthesia,0370,,,,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of visits,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of units,0,0,0
Hiawatha,ECT Recovery Room,0710,,,,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - EEG,0740,,,# of tests,0,0,0
Hiawatha,Crisis Observation Care,0762,,,Hour,0,0,0
Hiawatha,Additional Codes-ECT Facility Charge,0901,,,Encounter,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0
Hiawatha,Outpatient Partial Hospitalization,0912,,,Day,0,0,0
Hiawatha,Outpatient Partial Hospitalization,0913,,,Day,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,# of tests,0,0,0
Hiawatha,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0
Hiawatha,Additional Codes-ECT Anesthesia,,00104,,Minutes,0,0,0
Hiawatha,Additional Codes-ECT Anesthesia,0901,00104,,Minutes,0,0,0
Hiawatha,ABA Behavior Identification Assessment,,0359T,U5,Encounter,1,1,858
Hiawatha,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,1,2,430
Hiawatha,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,1,2,430
Hiawatha,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,0,0,0
Hiawatha,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,0,0,0
Hiawatha,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0
Hiawatha,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0
Hiawatha,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,0,0,0
Hiawatha,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,0,0,0
Hiawatha,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,0,0,0
Hiawatha,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0
Hiawatha,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0
