CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost
Gogebic,Assessment for Autism,,90785,U5,,0,0,0.00
Gogebic,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0.00
Gogebic,Assessment,,90791,,Encounter,1,1,229.59
Gogebic,Assessment for Autism,,90791,U5,Encounter,0,0,0.00
Gogebic,Assessment,,90792,,Encounter,4,4,6096.96
Gogebic,Assessment for Autism,,90792,U5,Encounter,0,0,0.00
Gogebic,Mental Health: Outpatient Care,,90832,,30 Minutes,0,0,0.00
Gogebic,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0.00
Gogebic,Assessment,,90833,,30 Minutes,0,0,0.00
Gogebic,Assessment for Autism,,90833,U5,30 Minutes,0,0,0.00
Gogebic,Mental Health: Outpatient Care,,90834,,45 Minutes,0,0,0.00
Gogebic,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0.00
Gogebic,Assessment,,90836,,45 Minutes,0,0,0.00
Gogebic,Assessment for Autism,,90836,U5,45 Minutes,0,0,0.00
Gogebic,Mental Health: Outpatient Care,,90837,,60 Minutes,1,1,463.40
Gogebic,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0.00
Gogebic,Assessment,,90838,,60 Minutes,0,0,0.00
Gogebic,Assessment for Autism,,90838,U5,60 Minutes,0,0,0.00
Gogebic,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0.00
Gogebic,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0.00
Gogebic,Therapy-Family Therapy,,90846,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0.00
Gogebic,Therapy-Family Therapy,,90847,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0.00
Gogebic,Therapy-Family Therapy,,90849,,Encounter,0,0,0.00
Gogebic,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0.00
Gogebic,Therapy-Group Therapy,,90853,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0.00
Gogebic,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0.00
Gogebic,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0.00
Gogebic,Assessments-Other,,90887,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92507,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92508,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92521,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92522,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92523,,Encounter,1,1,1881.65
Gogebic,Speech & Language Therapy,,92524,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92526,,Encounter,0,0,0.00
Gogebic,Speech & Language Therapy,,92610,,Encounter,0,0,0.00
Gogebic,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0.00
Gogebic,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0.00
Gogebic,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0.00
Gogebic,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0.00
Gogebic,Psychological Testing PSYCH/PHYS,,96101,,Per Hour,4,20,4824.40
Gogebic,Assessment for Autism,,96101,U5,Hour,0,0,0.00
Gogebic,Psychological Testing by Technician,,96102,,Per Hour,0,0,0.00
Gogebic,Assessment for Autism,,96102,U5,Hour,0,0,0.00
Gogebic,Psychological Testing by Comp,,96103,,Per Hour,0,0,0.00
Gogebic,Assessments-Other,,96105,,Encounter,0,0,0.00
Gogebic,Assessments-Other,,96110,,Encounter,0,0,0.00
Gogebic,Assessments-Other,,96111,,Encounter,0,0,0.00
Gogebic,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0.00
Gogebic,Neuropsych test by Psych/Phys,,96118,,Per Hour,0,0,0.00
Gogebic,Assessment for Autism,,96118,U5,Hour,0,0,0.00
Gogebic,Neuropsych test by Tech,,96119,,Per Hour,0,0,0.00
Gogebic,Assessment for Autism,,96119,U5,Hour,0,0,0.00
Gogebic,Neuropsych test Admin w/Comp,,96120,,Per Hour,0,0,0.00
Gogebic,Assessments-Other,,96127,,,0,0,0.00
Gogebic,Medication Administration,,96372,,Encounter,3,36,6860.88
Gogebic,Physical Therapy,,97001,,Encounter,0,0,0.00
Gogebic,Physical Therapy,,97002,,Encounter,0,0,0.00
Gogebic,Occupational Therapy,,97003,,Encounter,2,2,552.78
Gogebic,Occupational Therapy,,97004,,Encounter,10,10,812.90
Gogebic,Occupational or Physical Therapy,,97110,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97113,,15 Minutes,1,2,96.52
Gogebic,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97150,,Encounter,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0.00
Gogebic,Occupational Therapy,,97755,,15 Minutes,0,0,0.00
Gogebic,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0.00
Gogebic,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0.00
Gogebic,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0.00
Gogebic,Assessment or Health Services,,97802,,15 Minutes,1,5,374.15
Gogebic,Assessment or Health Services,,97803,,15 Minutes,0,0,0.00
Gogebic,Health Services,,97804,,30 Minutes,0,0,0.00
Gogebic,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0.00
Gogebic,New Patient Evaluation and Management,,99201,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99201,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0.00
Gogebic,New Patient Evaluation and Management,,99202,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99202,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0.00
Gogebic,New Patient Evaluation and Management,,99203,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99203,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0.00
Gogebic,New Patient Evaluation and Management,,99204,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99204,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0.00
Gogebic,New Patient Evaluation and Management,,99205,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99205,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0.00
Gogebic,Established Patient Evaluation and Management,,99211,,Encounter,2,20,2493.20
Gogebic,Assessment for Autism,,99211,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0.00
Gogebic,Established Patient Evaluation and Management,,99212,,Encounter,15,55,8260.45
Gogebic,Assessment for Autism,,99212,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0.00
Gogebic,Established Patient Evaluation and Management,,99213,,Encounter,27,71,31027.00
Gogebic,Assessment for Autism,,99213,U5,Encounter,0,0,0.00
Gogebic,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0.00
Gogebic,Established Patient Evaluation and Management,,99214,,Encounter,24,123,46775.67
Gogebic,Assessment for Autism,,99214,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0.00
Gogebic,Established Patient Evaluation and Management,,99215,,Encounter,14,28,17481.80
Gogebic,Assessment for Autism,,99215,U5,Encounter,0,0,0.00
Gogebic,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0.00
Gogebic,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0.00
Gogebic,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0.00
Gogebic,Assessment,,99324,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99324,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99325,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99325,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99326,,Encounter,1,1,322.92
Gogebic,Assessment for Autism,,99326,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99327,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99327,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99328,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99328,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99334,,Encounter,1,4,628.36
Gogebic,Assessment for Autism,,99334,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99335,,Encounter,1,2,601.08
Gogebic,Assessment for Autism,,99335,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99336,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99336,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99337,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99337,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99341,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99341,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99342,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99342,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99343,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99343,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99344,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99344,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99345,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99345,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99347,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99347,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99348,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99348,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99349,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99349,U5,Encounter,0,0,0.00
Gogebic,Assessment,,99350,,Encounter,0,0,0.00
Gogebic,Assessment for Autism,,99350,U5,Encounter,0,0,0.00
Gogebic,Medication Administration,,99506,,Encounter,0,0,0.00
Gogebic,Medication Management,,99605,,15 Minutes,0,0,0.00
Gogebic,Transportation,,A0080,,Per mile,0,0,0.00
Gogebic,Transportation,,A0090,,Per mile,0,0,0.00
Gogebic,Transportation,,A0100,,Per one-way trip,0,0,0.00
Gogebic,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0.00
Gogebic,Transportation,,A0110,,Per one-way trip,0,0,0.00
Gogebic,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0.00
Gogebic,Transportation,,A0120,,Per one-way trip,0,0,0.00
Gogebic,Transportation,,A0130,,Per one-way trip,0,0,0.00
Gogebic,Transportation,,A0140,,Per one-way trip,0,0,0.00
Gogebic,Transportation,,A0170,,,0,0,0.00
Gogebic,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0.00
Gogebic,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0.00
Gogebic,Enhanced Medical Equipment-Supplies,,E1399,,Item,0,0,0.00
Gogebic,Activity Therapy (Children's Waiver),,G0176,,Encounter,0,0,0.00
Gogebic,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0.00
Gogebic,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0.00
Gogebic,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0.00
Gogebic,Assessment,,H0002,,Encounter,1,1,430.48
Gogebic,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0.00
Gogebic,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0.00
Gogebic,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0.00
Gogebic,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0.00
Gogebic,Crisis Residential Services,,H0018,,Day,0,0,0.00
Gogebic,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0.00
Gogebic,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0.00
Gogebic,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0.00
Gogebic,Peer Directed and Operated Support Services,,H0023,,Encounter,11,359,31509.43
Gogebic,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0.00
Gogebic,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0.00
Gogebic,Crisis Intervention,,H0030,,Per Service,0,0,0.00
Gogebic,Assessment,,H0031,,Encounter,22,22,13311.76
Gogebic,Assessment for Autism,,H0031,U5,Encounter,0,0,0.00
Gogebic,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,16,16,9681.28
Gogebic,Treatment Planning,,H0032,,Encounter,42,77,23695.21
Gogebic,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,4,13,2981.94
Gogebic,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0.00
Gogebic,Health Services,,H0034,,15 Minutes,0,0,0.00
Gogebic,Home Based Services,,H0036,,15 Minutes,14,1385,126464.35
Gogebic,Home Based Services,,H0036,ST,15 Minutes,0,0,0.00
Gogebic,Peer Directed and Operated Support Services,,H0038,,15 minutes,1,204,4967.40
Gogebic,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0.00
Gogebic,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0.00
Gogebic,Peer Directed and Operated Support Services,,NA,,,0,0,0.00
Gogebic,Assertive Community Treatment (ACT),,H0039,,15 Minutes,2,323,24215.31
Gogebic,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0.00
Gogebic,Respite,,H0045,,Day,2,15,450.00
Gogebic,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0.00
Gogebic,Behavior Treatment Plan Review,,H2000,,Encounter,5,20,15507.00
Gogebic,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,7,40,9064.36
Gogebic,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0.00
Gogebic,Crisis Intervention,,H2011,,15 Minutes,7,102,2733.60
Gogebic,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0.00
Gogebic,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,44,93245,326357.50
Gogebic,Community Living Supports (15 Minutes),,H2015,,15 Minutes,57,17639,286457.36
Gogebic,Community Living Supports (Daily),,H2016,,Per Diem,1,214,9484.48
Gogebic,Community Living Supports (Daily),,H2016,TF,Per Diem,20,5584,138315.68
Gogebic,Community Living Supports (Daily),,H2016,TG,Per Diem,14,3157,539525.30
Gogebic,Behavior Services,,H2019,,15 Minutes,0,0,0.00
Gogebic,Behavior Services,,H2019,TT,15 Minutes,0,0,0.00
Gogebic,Applied Behavioral Intervention (ABI).,,H2019,U5,15 Minutes,0,0,0.00
Gogebic,Early Intensive Behavioral Intervention (EIBI),,H2019,"U5, TG",15 Minutes,0,0,0.00
Gogebic,Crisis Intervention,,H2020,,Day,0,0,0.00
Gogebic,Wraparound,,H2021,,15 Minutes,0,0,0.00
Gogebic,Supported Employment Services,,H2023,,15 minutes,7,539,12591.04
Gogebic,Mental Health Therapy,,H2027,,15 Minutes,0,0,0.00
Gogebic,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0.00
Gogebic,Clubhouse Psychosocial Rehabilitation Programs,,H2030,,15 Minutes,0,0,0.00
Gogebic,Home Based Services,,H2033,,15 Minutes,0,0,0.00
Gogebic,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0.00
Gogebic,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0.00
Gogebic,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0.00
Gogebic,Medication Review,,M0064,,"Encounter Face-to-Face, generally less than 10 minutes",2,7,489.51
Gogebic,Transportation,,S0209,,Per Mile,0,0,0.00
Gogebic,Transportation,,S0215,,Per Mile,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0.00
Gogebic,Home Care Training to Home Care Client ABA,,S5108,U5,15 Minutes,0,0,0.00
Gogebic,Family Training - EBP,,S5110,,15 Minutes,0,0,0.00
Gogebic,Family Training,,S5111,,Encounter,2,3,1607.13
Gogebic,Family Training,,S5111,HA,Encounter,0,0,0.00
Gogebic,Family Training,,S5111,HM,Encounter,0,0,0.00
Gogebic,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,1,3,847.68
Gogebic,Foster Care,,S5140,,Day,0,0,0.00
Gogebic,Foster Care,,S5145,,Day,0,0,0.00
Gogebic,Respite,,S5150,,15 Minutes,0,0,0.00
Gogebic,Respite,,S5151,,Per Diem,0,0,0.00
Gogebic,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0.00
Gogebic,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0.00
Gogebic,Environmental Modification,,S5165,,Service,0,0,0.00
Gogebic,Enhanced Medical Equipment-Supplies,,S5199,,Item,3,4,347.28
Gogebic,Occupational or Physical Therapy,,S8990,,Encounter,4,139,14319.78
Gogebic,Private Duty Nursing,582,S9123,,Hour,0,0,0.00
Gogebic,Private Duty Nursing,,S9123,,Hour,0,0,0.00
Gogebic,Private Duty Nursing,,S9123,TT,Hour,0,0,0.00
Gogebic,Private Duty Nursing,582,S9124,,Hour,0,0,0.00
Gogebic,Private Duty Nursing,,S9124,,Hour,0,0,0.00
Gogebic,Private Duty Nursing,,S9124,TT,Hour,0,0,0.00
Gogebic,Health Services,,S9445,,Encounter,0,0,0.00
Gogebic,Health Services,,S9446,,Encounter,0,0,0.00
Gogebic,Health Services,,S9470,,Encounter,0,0,0.00
Gogebic,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0.00
Gogebic,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0.00
Gogebic,Residential Room and Board,,S9976,,Day,0,0,0.00
Gogebic,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0.00
Gogebic,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0.00
Gogebic,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0.00
Gogebic,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0.00
Gogebic,Assessment,,T1001,,Encounter,25,25,9440.50
Gogebic,Health Services,,T1002,,Up to 15 min,3,20,1667.60
Gogebic,Respite Care,,T1005,,15 Minutes,17,14013,61586.00
Gogebic,Respite Care,,T1005,TD,15 Minutes,0,0,0.00
Gogebic,Respite Care,,T1005,TE,15 Minutes,0,0,0.00
Gogebic,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0.00
Gogebic,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0.00
Gogebic,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0.00
Gogebic,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0.00
Gogebic,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0.00
Gogebic,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,91,4295,300306.40
Gogebic,Targeted Case Management,,T1017,,15 minutes,22,763,54203.52
Gogebic,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0.00
Gogebic,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,7,1796,32040.64
Gogebic,Personal Care in Licensed Specialized Residential Setting,,T1020,TF,Day,4,1040,44532.80
Gogebic,Personal Care in Licensed Specialized Residential Setting,,T1020,TG,Day,18,6119,1051733.72
Gogebic,Assessments,,T1023,,Encounter,2,3,1048.56
Gogebic,Prevention Services - Direct Model,,T1027,,15 Minutes,0,0,0.00
Gogebic,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,4,102,4097.34
Gogebic,Transportation,,T2001,,Encounter,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0.00
Gogebic,Transportation,,T2002,,Per Diem,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0.00
Gogebic,Transportation,,T2003,,Encounter / Trip,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0.00
Gogebic,Transportation,,T2004,,Encounter,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0.00
Gogebic,Transportation,,T2005,,Encounter,0,0,0.00
Gogebic,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0.00
Gogebic,Out of Home Prevocational Service,,T2015,,Hour,2,1921,21131.00
Gogebic,Targeted Case Management (Children's Waiver),,T2023,,Month,2,14,9099.30
Gogebic,Prevention Services - Direct Model,,T2024,,,0,0,0.00
Gogebic,Fiscal Intermediary Services,,T2025,,Month,23,244,3620.96
Gogebic,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0.00
Gogebic,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0.00
Gogebic,Crisis Intervention,,T2034,,Day,0,0,0.00
Gogebic,Respite Care,,T2036,,Per session. One night = one session,1,6,330.00
Gogebic,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0.00
Gogebic,Housing Assistance,,T2038,,Service,0,0,0.00
Gogebic,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0.00
Gogebic,Goods and Services,,T5999,HK,Per Item,0,0,0.00
Gogebic,Wraparound Services,,T5999,,Per Item,0,0,0.00
Gogebic,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0.00
Gogebic,Other,,,,,0,0,0.00
Gogebic,Aggregate for 'J' Codes,,ALL,,,3,0,0.00
Gratiot,State Psychiatric Hospital - Inpatient PT22,"0100, 0101, 0114, 0124, 0134, 0154",,PT22,Day,0,0,0.00
Gratiot,State Mental Retardation Facility - Inpatient (ICF/MR) PT65,100,,PT65,Day,0,0,0.00
Gratiot,Local Psychiatric Hospital/IMD PT68,"0100, 0101, 0114, 0124, 0134, 0154",,PT68,Day,0,0,0.00
Gratiot,Local Psychiatric Hospital - Acute Community PT73,"0100, 0101, 0114, 0124, 0134, 0154",,PT73,Day,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258",,,,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0.00
Gratiot,ECT Anesthesia,370,,,,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0.00
Gratiot,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0.00
Gratiot,ECT Recovery Room,710,,,,0,0,0.00
