CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfMIA-Cases,SumOfMIA-Units,SumOfMIA-Cost,SumOfOther Cost,FirstOfMIA Unique Consumers
Ionia,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,1213.82,1388
Ionia,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,3313.29,1388
Ionia,Occupational or Physical Therapy,,97532,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,584.43,1388
Ionia,Occupational or Physical Therapy,,97535,,15 Minutes,1,8,1078.96,17454.35,1388
Ionia,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0,1388
Ionia,Occupational Therapy,,97755,,15 Minutes,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0,1388
Ionia,C/O for Orthotic/Prosth Use  or Physical Therapy,,97762,,15 minutes,0,0,0,0,1388
Ionia,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0,1388
Ionia,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0,1388
Ionia,Health Services,,97804,,30 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: Acupuncture,,97810,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Acupuncture,,97811,,Encounter,0,0,0,0,1388
Ionia,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0,1388
Ionia,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0,1388
Ionia,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0,1388
Ionia,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0,1388
Ionia,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0,1388
Ionia,Established Patient Evaluation and Management,,99211,,Encounter,84,145,61190.4,89040.94,1388
Ionia,Substance Abuse: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0,1388
Ionia,Established Patient Evaluation and Management,,99212,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0,1388
Ionia,Established Patient Evaluation and Management,,99213,,Encounter,55,80,22239.97,33993.84,1388
Ionia,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0,1388
Ionia,Established Patient Evaluation and Management,,99214,,Encounter,255,1152,331800.7,514827.5,1388
Ionia,Substance Abuse: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0,1388
Ionia,Established Patient Evaluation and Management,,99215,,Encounter,81,158,47903.51,66094.03,1388
Ionia,Substance Abuse: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0,0,1388
Ionia,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99241,,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: New or Established Patient Evaluation and Management,,99241,HF,15 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99242,,30 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: New or Established Patient Evaluation and Management,,99242,HF,30 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99243,,40 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: New or Established Patient Evaluation and Management,,99243,HF,40 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99244,,60 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: New or Established Patient Evaluation and Management,,99244,HF,60 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99245,,80 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: New or Established Patient Evaluation and Management,,99245,HF,80 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99251,,20 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99252,,40 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99253,,55 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99254,,80 Minutes,0,0,0,0,1388
Ionia,Physician Consultations,,99255,,110 Minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99304,,25 minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99305,,35 Minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99306,,45 Minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99307,,10 Minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99308,,15 Minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99309,,25 minutes,0,0,0,0,1388
Ionia,Nursing Facility Services evaluation and management,,99310,,35 Minutes,0,0,0,0,1388
Ionia,Assessment,,99324,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99325,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99326,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99327,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99328,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99334,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99335,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99336,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99337,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99341,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99342,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99343,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99344,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99345,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99347,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99348,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99349,,Encounter,0,0,0,0,1388
Ionia,Assessment,,99350,,Encounter,0,0,0,0,1388
Ionia,Medication Administration,,99506,,Encounter,0,0,0,0,1388
Ionia,Medication Management,,99605,,15 Minutes,0,0,0,0,1388
Ionia,Transportation,,A0080,,Per mile,0,0,0,0,1388
Ionia,Transportation,,A0090,,Per mile,0,0,0,0,1388
Ionia,Transportation,,A0100,,Per one-way trip,0,0,0,0,1388
Ionia,Substance Abuse: Transportation,,A0100,,Per one-way trip,0,0,0,0,1388
Ionia,Transportation,,A0110,,Per one-way trip,0,0,0,0,1388
Ionia,Substance Abuse: Transportation,,A0110,HF,Per one-way trip,0,0,0,0,1388
Ionia,Transportation,,A0120,,Per one-way trip,0,0,0,0,1388
Ionia,Transportation,,A0130,,Per one-way trip,0,0,0,0,1388
Ionia,Transportation,,A0140,,Per one-way trip,0,0,0,0,1388
Ionia,Transportation,,A0170,,,0,0,0,0,1388
Ionia,Additional Codes-Transportation,,A0425,,Per Mile,0,0,0,0,1388
Ionia,Additional Codes-Transportation,,A0427,,Refer to code descriptions.,0,0,0,0,1388
Ionia,Enhanced Medical Equipment-Supplies,,E1399,,Item,1,1,38.1,1013.93,1388
Ionia,Family Training/Support EBP only,,G0177,,Encounter Session at least 45 min,0,0,0,0,1388
Ionia,Substance Abuse: Recovery Support Services,,G0409,,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: Individual Assessment,,H0001,,Encounter,0,0,0,0,1388
Ionia,Assessment ,,H0002,,Encounter,431,807,218609.29,323544.95,1388
Ionia,Substance Abuse: Laboratory,,H0003,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Case Management,,H0006,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0,1388
Ionia,Substance Abuse: Sub-Acute Detoxification,1002,H0012,,Day,0,0,0,0,1388
Ionia,Substance Abuse: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Care,906,H0015,,Day,0,0,0,0,1388
Ionia,Crisis Residential Services,,H0018,,Day,2,5,2236.58,2236.58,1388
Ionia,Substance Abuse: Residential,1002,H0018,HF,Day,0,0,0,0,1388
Ionia,Substance Abuse: Residential,1002,H0019,HF,Day,0,0,0,0,1388
Ionia,Substance Abuse: Methadone,,H0020,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Early Intervention,,H0022,,Encounter,0,0,0,0,1388
Ionia,Peer Directed and Operated Support Services,,H0023,,Encounter,3,3,151.73,252.88,1388
Ionia,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0,1388
Ionia,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0,1388
Ionia,Assessment ,,H0031,,Encounter,298,624,156997.16,265111.87,1388
Ionia,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,0,0,0,0,1388
Ionia,Treatment Planning,,H0032,,Encounter,228,476,81852.26,113101.22,1388
Ionia,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0,1388
Ionia,Health Services,,H0034,,15 Minutes,0,0,0,0,1388
Ionia,Home Based Services,,H0036,,15 Minutes,38,4235,333183.68,1190430.61,1388
Ionia,Home Based Services,,H0036,ST,15 Minutes,0,0,0,0,1388
Ionia,Peer Directed and Operated Support Services,,H0038,,15 minutes,51,8155,238303.04,282414.33,1388
Ionia,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0,1388
Ionia,Peer Directed and Operated Support Services,,NA,,,0,0,61250,61250,1388
Ionia,Assertive Community Treatment (ACT),,H0039,,15 Minutes,0,0,0,0,1388
Ionia,Community Living Supports in Independent living/own home,,H0043,,Per diem,0,0,0,0,1388
Ionia,Respite,,H0045,,Day,0,0,0,0,1388
Ionia,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Laboratory,,H0048,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0,1388
Ionia,Behavior Treatment Plan Review,,H2000,,Encounter,0,0,0,0,1388
Ionia,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,0,0,0,25647.67,1388
Ionia,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0,1388
Ionia,Crisis Intervention,,H2011,,15 Minutes,13,87,4302.33,12709.19,1388
Ionia,"Substance Abuse: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0,1388
Ionia,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,2,70,1730.82,15826.65,1388
Ionia,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,0,0,0,0,1388
Ionia,Community Living Supports (15 Minutes),,H2015,,15 Minutes,9,2263,10528.68,981928.14,1388
Ionia,Community Living Supports (Daily),,H2016,,Per Diem,9,1801,363630.9,1986505.65,1388
Ionia,Behavior Services,,H2019,,15 Minutes,0,0,0,354580.71,1388
Ionia,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0,1388
Ionia,Wraparound,,H2021,,15 Minutes,1,147,11565.05,63725.8,1388
Ionia,Wraparound (SED Waiver),,H2022,,Day,0,0,0,0,1388
Ionia,Wraparound (SED Waiver),,H2022,TT,Day,0,0,0,0,1388
Ionia,Supported Employment Services,,H2023,,15 minutes,45,1486,40083.19,58284.65,1388
Ionia,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse Services: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0,1388
Ionia,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,12419.23,1388
Ionia,Home Based Services,,H2033,,15 Minutes,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0,1388
Ionia,Substance Abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0,1388
Ionia,Transportation,,S0209,,Per Mile,0,0,0,0,1388
Ionia,Transportation,,S0215,,Per Mile,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,S0215,HF,Per Mile,0,0,0,0,1388
Ionia,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0,1388
Ionia,Family Training,,S5111,,Encounter,13,67,3863.82,164710.58,1388
Ionia,Family Training,,S5111,HA,Encounter,0,0,0,0,1388
Ionia,Family Training,,S5111,HM,Encounter,3,61,1782.52,5581.34,1388
Ionia,BHT/ABA Family Training,,S5111,U5,Encounter,0,0,0,0,1388
Ionia,Foster Care,,S5140,,Day,0,0,0,0,1388
Ionia,Foster Care,,S5145,,Day,0,0,0,0,1388
Ionia,Respite,,S5150,,15 Minutes,0,0,0,0,1388
Ionia,Respite,,S5151,,Per Diem,0,0,0,0,1388
Ionia,Personal Emergency Response System (PERS),,S5160,,Encounter,0,0,0,0,1388
Ionia,Personal Emergency Response System (PERS),,S5161,,Month,0,0,0,0,1388
Ionia,Environmental Modification ,,S5165,,Service,0,0,0,0,1388
Ionia,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0,1388
Ionia,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0,1388
Ionia,Health Services,,S9445,,Encounter,0,0,0,0,1388
Ionia,Health Services,,S9446,,Encounter,0,0,0,0,1388
Ionia,Health Services,,S9470,,Encounter,0,0,0,0,1388
Ionia,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0,1388
Ionia,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0,1388
Ionia,Residential Room and Board,,S9976,,Day,0,0,0,0,1388
Ionia,Substance Abuse Services: Residential Room and Board,,S9976,HF,Day,0,0,0,0,1388
Ionia,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0,1388
Ionia,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,0,1388
Ionia,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,0,1388
Ionia,Assessment,,T1001,,Encounter,0,0,0,449.56,1388
Ionia,Health Services,,T1002,,Up to 15 min,91,261,9663.11,15842.37,1388
Ionia,Respite Care,,T1005,,15 Minutes,5,5072,18455.88,203915.07,1388
Ionia,Respite Care,,T1005,TD,15 Minutes,0,0,0,0,1388
Ionia,Respite Care,,T1005,TE,15 Minutes,0,0,0,0,1388
Ionia,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,0,1388
Ionia,Substance Abuse: Treatment Planning,,T1007,HF,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Child Sitting Services,,T1009,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse: Recovery Support Services,,T1012,,Encounter,0,0,0,0,1388
Ionia,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0,1388
Ionia,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,53,2300,209738.82,942400.12,1388
Ionia,Targeted Case Management ,,T1017,,15 minutes,354,10642,964919.89,1175840.43,1388
Ionia,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0,0,1388
Ionia,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,5,906,12954.47,579865.7,1388
Ionia,Assessments,,T1023,,Encounter,105,205,64512.54,81506.09,1388
Ionia,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0,1388
Ionia,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0,0,1388
Ionia,Transportation,,T2001,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,T2001,HF,Encounter,0,0,0,0,1388
Ionia,Transportation,,T2002,,Per Diem,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,T2002,HF,Per Diem,0,0,0,0,1388
Ionia,Transportation,,T2003,,Encounter / Trip,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0,1388
Ionia,Transportation,,T2004,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,T2004,HF,Encounter,0,0,0,0,1388
Ionia,Transportation,,T2005,,Encounter,0,0,0,0,1388
Ionia,Substance Abuse Services: Transportation,,T2005,HF,Encounter,0,0,0,0,1388
Ionia,Prevention Services - Direct Model ,,T2024,,,0,0,0,0,1388
Ionia,Fiscal Intermediary Services,,T2025,,Month,3,10,1202.59,64225.95,1388
Ionia,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0,1388
Ionia,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,0,1388
Ionia,Respite Care,,T2036,,Per session. One night = one session,0,0,0,3425.68,1388
Ionia,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0,0,1388
Ionia,Housing Assistance,,T2038,,Service,0,0,0,0,1388
Ionia,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0,0,1388
Ionia,Goods and Services ,,T5999,HK,Per Item,0,0,0,0,1388
Ionia,Wraparound Services,,T5999,,Per Item,0,0,0,0,1388
Ionia,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0,1388
Ionia,Other,,,,,0,0,0,0,1388
Ionia,Aggregate for 'J' Codes,,ALL,,,0,0,0,0,1388
Kalamazoo,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,57,640,503411.49,579553.21,3794
Kalamazoo,Local Psychiatric Hospital/IMD PT68 Bundled per diem,100,,PT68,Day,16,230,36281.3,36281.3,3794
Kalamazoo,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,3794
Kalamazoo,Local Psychiatric Hospital/IMD PT68 Physician costs excluded,"0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0,3794
Kalamazoo,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,81,654,587202.22,661326.04,3794
Kalamazoo,Local Psychiatric Hospital - Acute Community PT73 Bundled per diem,100,,PT73,Day,24,260,33472.31,34503.24,3794
Kalamazoo,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,270,2515,2048104.14,2320913.24,3794
Kalamazoo,Local Psychiatric Hospital - Acute Community PT73 Physician costs excluded,"0114, 0124, 0134, 0154",,PT73,Day,61,634,58943.78,62933.01,3794
Kalamazoo,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0,3794
Kalamazoo,Cost Estimates of Current Year IBNR/Accrual Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Room and Board,144,,,Day,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Leave of Absence,183,,,Day,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Radiology,320,,,# of tests,0,0,0,0,3794
Kalamazoo,ECT Anesthesia,370,,,,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Respiratory Services,410,,,# of treatments,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Emergency Room,450,,,# of visits,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Pulmonary Function,460,,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Pharmacy,636,,,# of units,0,0,0,0,3794
Kalamazoo,ECT Recovery Room,710,,,,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - EEG,740,,,# of tests,0,0,0,0,3794
Kalamazoo,Crisis Observation Care,762,,,Hour,0,0,0,0,3794
Kalamazoo,Additional Codes-ECT Facility Charge,901,,,Encounter,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0,3794
Kalamazoo,Outpatient Partial Hospitalization,912,,,Day,2,16,4132.83,47909.41,3794
Kalamazoo,Outpatient Partial Hospitalization,913,,,Day,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Other Diagnosis Services,925,,,# of tests,0,0,0,0,3794
Kalamazoo,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0,3794
Kalamazoo,Additional Codes-ECT Anesthesia,,104,,Minutes,0,0,0,0,3794
Kalamazoo,Additional Codes-ECT Anesthesia,901,104,,Minutes,0,0,0,0,3794
Kalamazoo,Drug Screen for Methadone Clients Only,,80300,,per date of service,0,0,0,0,3794
Kalamazoo,Drug Screen for Methadone Clients Only,,80301,,per date of service,0,0,0,0,3794
Kalamazoo,Drug Screen for Methadone Clients Only,,80302,,each procedure,0,0,0,0,3794
Kalamazoo,Drug Screen for Methadone Clients Only,,80303,,per date of service ,0,0,0,0,3794
Kalamazoo,Drug Screen for Methadone Clients Only,,80304,,each procedure,0,0,0,0,3794
Kalamazoo,Interactive Complexity - Add On Code,,90785,,,0,0,0,0,3794
Kalamazoo,Interactive Complexity - Add On Code - SUD,,90785,HF,,0,0,0,0,3794
Kalamazoo,Assessment,,"90791
",,Encounter,94,95,15117.29,104098.92,3794
Kalamazoo,Assessment,,90792,,Encounter,328,333,323129.28,408046.02,3794
Kalamazoo,Mental Health: Outpatient Care,,90832,,30 Minutes,6,8,582.78,1360.04,3794
Kalamazoo,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0,3794
Kalamazoo,Assessment,,90833,,30 Minutes,0,0,0,0,3794
Kalamazoo,Mental Health: Outpatient Care,,90834,,45 Minutes,67,465,62612.65,158426.11,3794
Kalamazoo,Substance abuse: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0,3794
Kalamazoo,Assessment,,90836,,45 Minutes,0,0,0,0,3794
Kalamazoo,Mental Health: Outpatient Care,,90837,,60 Minutes,37,235,17003.93,34190.47,3794
Kalamazoo,Substance abuse: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0,3794
Kalamazoo,Assessment,,90838,,60 Minutes,0,0,0,0,3794
Kalamazoo,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,0,3794
Kalamazoo,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,0,3794
Kalamazoo,Therapy-Family Therapy,,90846,,Encounter,0,0,0,134423.59,3794
Kalamazoo,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0,3794
Kalamazoo,Therapy-Family Therapy,,90847,,Encounter,0,0,0,41671.62,3794
Kalamazoo,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,,Encounter,0,0,0,0,3794
Kalamazoo,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0,3794
Kalamazoo,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0,3794
Kalamazoo,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0,3794
Kalamazoo,Therapy-Group Therapy,,90853,,Encounter,21,528,18816.04,18816.04,3794
Kalamazoo,Substance Abuse: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0,3794
Kalamazoo,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0,3794
Kalamazoo,Additional Codes-ECT Physician,901,90870,,Encounter,0,0,0,0,3794
Kalamazoo,Assessments-Other,,90887,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92507,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92508,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92523,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0,3794
Kalamazoo,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0,3794
Kalamazoo,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0,0,0,0,3794
