CMH Name,FirstOfService Description,FirstOfRevenue Code,FirstOfHCPCS Code,FirstOfModifier,FirstOfUnit type,SumOfDD-Cases,SumOfDD-Units,SumOfDD-Cost,SumOfOther Cost
AuSable Valley,Substance Use Disorder: Laboratory,,H0003,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0004,,15 Minutes,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0005,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Case Management,,H0006,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Sub-Acute Detoxification,1002,H0010,,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Sub-Acute Detoxification,1002+E249,H0012,,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Sub-Acute Detoxification,1002,H0014,,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Care,0906,H0015,,Day,0,0,0,0
AuSable Valley,Crisis Residential Services,,H0018,,Day,3,16,7938,169677
AuSable Valley,Substance Use Disorder: Residential,1002,H0018,HF,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Residential,1002,H0019,HF,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Methadone,,H0020,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Early Intervention,,H0022,,Encounter,0,0,0,0
AuSable Valley,Peer Directed and Operated Support Services,,H0023,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Recovery Support Services,,H0023,HF,Encounter,0,0,0,0
AuSable Valley,Prevention Services - Direct Model,,H0025,,Face to Face Contact,0,0,0,0
AuSable Valley,Assessment ,,H0031,,Encounter,83,86,29967,524003
AuSable Valley,Assessment for Autism,,H0031,U5,Encounter,0,0,0,0
AuSable Valley,Support Intensity Scale (SIS) Face-to-Face Assessment,,H0031,HW,,75,75,26222,26222
AuSable Valley,Treatment Planning,,H0032,,Encounter,58,64,8004,188969
AuSable Valley,Monitoring of Treatment - Clinician,,H0032,TS,Encounter,8,13,1626,85921
AuSable Valley,Substance Use Disorder: Pharmalogical Support - Suboxane,,H0033,,Direct Observation Encounter,0,0,0,0
AuSable Valley,Health Services,,H0034,,15 Minutes,1,1,54,54
AuSable Valley,Home Based Services,,H0036,,15 Minutes,5,103,6678,159877
AuSable Valley,Home Based Services,,H0036,ST,15 Minutes,0,0,0,3371
AuSable Valley,Peer Directed and Operated Support Services,,H0038,,15 minutes,0,0,0,0
AuSable Valley,Peer Directed and Operated Support Services,,H0038,TJ,15 Minutes,0,0,0,0
AuSable Valley,Substance Use Disorder: Recovery Support Services,,H0038,HF,15 Minutes,0,0,0,0
AuSable Valley,Peer Directed and Operated Support Services,,NA,,,0,0,0,0
AuSable Valley,Assertive Community Treatment (ACT),,H0039,,15 Minutes,1,84,7047,462938
AuSable Valley,Assertive Community Treatment (ACT),,H0039,TG,15 Minutes,0,0,0,5034
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,,Per Diem,58,18166,3851433,4182218
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,TF,Per Diem,0,0,0,0
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,TG,Per Diem,1,26,2075,2075
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,TT,Per Diem,0,0,0,0
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,TF/TT,Per Diem,0,0,0,0
AuSable Valley,Community Living Supports in Independent living/own home,,H0043,TG/TT,Per Diem,0,0,0,0
AuSable Valley,Respite,,H0045,,Day,0,0,0,0
AuSable Valley,Peer Directed and Operated Support Services,,H0046,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Laboratory,,H0048,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",H0050,,15 Minutes,0,0,0,0
AuSable Valley,Behavior Treatment Plan Review,,H2000,,Encounter,10,64,19449,19449
AuSable Valley,Behavior Treatment Plan Review - Monitoring Activities,,H2000,TS,Encounter,8,193,58652,58652
AuSable Valley,Comprehensive Medication Services - EBP only,,H2010,,15 minutes,0,0,0,0
AuSable Valley,Crisis Intervention,,H2011,,15 Minutes,6,20,1344,42727
AuSable Valley,"Substance Use Disorder: Crisis Intervention, per 15 minutes",,H2011,HF,15 Minutes,0,0,0,0
AuSable Valley,Crisis Intervention,,H2011,TJ,15 Minutes,0,0,0,0
AuSable Valley,Skill-Building and Out of Home Non Vocational Habilitation,,H2014,,15 minutes,47,2449,13731,83316
AuSable Valley,Out of Home Non Vocational Habilitation,,H2014,HK,15 Minutes,3,5434,20090,20090
AuSable Valley,Community Living Supports (15 Minutes),,H2015,,15 Minutes,157,215255,1391548,1453830
AuSable Valley,Community Living Supports (15 Minutes),,H2015,TT,15 Minutes,125,86715,1032851,1096693
AuSable Valley,Community Living Supports (Daily),,H2016,,Per Diem,38,11241,2960315,3402848
AuSable Valley,Behavior Services,,H2019,,15 Minutes,0,0,0,0
AuSable Valley,Behavior Services,,H2019,TT,15 Minutes,0,0,0,0
AuSable Valley,Wraparound,,H2021,,15 Minutes,5,326,11396,82780
AuSable Valley,Supported Employment Services,,H2023,,15 minutes,77,19395,458394,496491
AuSable Valley,Mental Health Therapy,,H2027,,15 Minutes,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Care,"0900, 0914, 0915, 0916, 0919",H2027,HF,15 Minutes,0,0,0,0
AuSable Valley,Clubhouse Psychosocial Rehabilitation Programs ,,H2030,,15 Minutes,0,0,0,0
AuSable Valley,Home Based Services,,H2033,,15 Minutes,0,0,0,0
AuSable Valley,Substance Use Disorder: Recovery Housing,,H2034,,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2035,HF,Hour,0,0,0,0
AuSable Valley,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",H2036,HF,Per Diem,0,0,0,0
AuSable Valley,Repair/Svc DME Non-Oxygen Equipment (Children's Waiver),,K0739,,15 Minutes,0,0,0,0
AuSable Valley,Telemedicine Facility Fee,,Q3014,GT,Per Service,0,0,0,0
AuSable Valley,Transportation,,S0209,,Per Mile,0,0,0,0
AuSable Valley,Transportation,,S0215,,Per Mile,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,S0215,HF,Per Mile,0,0,0,0
AuSable Valley,Family Training - EBP,,S5110,,15 Minutes,0,0,0,0
AuSable Valley,Family Training,,S5111,,Encounter,14,107,25743,241312
AuSable Valley,Family Training,,S5111,HA,Encounter,0,0,0,0
AuSable Valley,Family Training,,S5111,HM,Encounter,0,0,0,0
AuSable Valley,"Home Care Training, Non-Family (Children's Waiver)",,S5116,,Encounter,0,0,0,0
AuSable Valley,Foster Care,,S5140,,Day,0,0,0,0
AuSable Valley,Foster Care,,S5145,,Day,0,0,0,0
AuSable Valley,Respite,,S5150,,15 Minutes,0,0,0,0
AuSable Valley,Respite,,S5151,,Per Diem,0,0,0,0
AuSable Valley,Personal Emergency Response System (PERS),,S5160,,Encounter,2,2,649,649
AuSable Valley,Personal Emergency Response System (PERS),,S5161,,Month,4,6,11349,11349
AuSable Valley,Environmental Modification ,,S5165,,Service,0,0,0,0
AuSable Valley,Enhanced Medical Equipment-Supplies,,S5199,,Item,0,0,0,0
AuSable Valley,Occupational or Physical Therapy,,S8990,,Encounter,0,0,0,0
AuSable Valley,Private Duty Nursing,0582,S9123,,Hour,0,0,0,0
AuSable Valley,Private Duty Nursing,,S9123,,Hour,0,0,0,0
AuSable Valley,Private Duty Nursing,,S9123,TT,Hour,0,0,0,0
AuSable Valley,Private Duty Nursing,0582,S9124,,Hour,0,0,0,0
AuSable Valley,Private Duty Nursing,,S9124,,Hour,0,0,0,0
AuSable Valley,Private Duty Nursing,,S9124,TT,Hour,0,0,0,0
AuSable Valley,Health Services,,S9445,,Encounter,0,0,0,0
AuSable Valley,Health Services,,S9446,,Encounter,0,0,0,0
AuSable Valley,Health Services,,S9470,,Encounter,0,0,0,0
AuSable Valley,Prevention Services - Direct Model,,S9482,,15 minutes,0,0,0,0
AuSable Valley,Intensive Crisis Stabilization-Enrolled Program,,S9484,,Hour,0,0,0,0
AuSable Valley,Intensive Crisis Stabilization-Enrolled Program,,S9484,TJ,Hour,0,0,0,0
AuSable Valley,Residential Room and Board,,S9976,,Day,0,0,0,0
AuSable Valley,Substance Use Disorder: Residential Room and Board,,S9976,HF,Day,0,0,0,0
AuSable Valley,Private Duty Nursing,,T1000,,Up to 15 min,0,0,0,0
AuSable Valley,Private Duty Nursing,,T1000,TD,Up to 15 min,0,0,0,0
AuSable Valley,Private Duty Nursing,,T1000,TE,Up to 15 min,0,0,0,0
AuSable Valley,Assessment,,T1001,,Encounter,94,101,12049,19923
AuSable Valley,Health Services,,T1002,,Up to 15 min,94,774,24056,47056
AuSable Valley,Respite Care,,T1005,,15 Minutes,28,24633,99589,103096
AuSable Valley,Respite Care,,T1005,TD,15 Minutes,0,0,0,0
AuSable Valley,Respite Care,,T1005,TE,15 Minutes,0,0,0,0
AuSable Valley,Respite Care (Children's Waiver & SED Waiver),,T1005,TT,15 minutes,0,0,0,0
AuSable Valley,Substance Use Disorder: Treatment Planning,,T1007,HF,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Child Sitting Services,,T1009,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Recovery Support Services,,T1012,,Encounter,0,0,0,0
AuSable Valley,Family Psycho-Education - EBP,,T1015,,Encounter,0,0,0,0
AuSable Valley,Supports Coordination/Wrap Facilitation,,T1016,,15 minutes,80,3650,488498,492312
AuSable Valley,Targeted Case Management ,,T1017,,15 minutes,314,10456,1745984,2923008
AuSable Valley,Nursing Home Mental Health Monitoring,,T1017,SE,15 minutes,0,0,0,0
AuSable Valley,Personal Care in Licensed Specialized Residential Setting,,T1020,,Day,31,9145,803741,803741
AuSable Valley,Assessments,,T1023,,Encounter,24,56,9696,138682
AuSable Valley,Prevention Services - Direct Model ,,T1027,,15 Minutes,0,0,0,0
AuSable Valley,Enhanced Medical Supplies or Pharmacy,,T1999,,Item,0,0,0,0
AuSable Valley,Transportation,,T2001,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,T2001,HF,Encounter,0,0,0,0
AuSable Valley,Transportation,,T2002,,Per Diem,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,T2002,HF,Per Diem,0,0,0,0
AuSable Valley,Transportation,,T2003,,Encounter / Trip,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,T2003,HF,Encounter / Trip,0,0,0,0
AuSable Valley,Transportation,,T2004,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,T2004,HF,Encounter,0,0,0,0
AuSable Valley,Transportation,,T2005,,Encounter,0,0,0,0
AuSable Valley,Substance Use Disorder: Transportation,,T2005,HF,Encounter,0,0,0,0
AuSable Valley,Out of Home Prevocational Service,,T2015,,Hour,0,0,0,0
AuSable Valley,Targeted Case Management (Children's Waiver),,T2023,,Month,0,0,0,0
AuSable Valley,Prevention Services - Direct Model ,,T2024,,,0,0,0,0
AuSable Valley,Fiscal Intermediary Services,,T2025,,Month,36,376,49900,51126
AuSable Valley,Enhanced Medical Equipment-Supplies,,T2028,,Item,0,0,0,0
AuSable Valley,Enhanced Medical Equipment-Supplies,,T2029,,Item,0,0,0,0
AuSable Valley,Respite Care,,T2036,,Per session. One night = one session,0,0,0,0
AuSable Valley,Respite Care,,T2037,,Per session. One day/partial day = one session,0,0,0,0
AuSable Valley,Housing Assistance,,T2038,,Service,0,0,0,0
AuSable Valley,Enhanced Medical Equipment-Supplies,,T2039,,Item,0,0,0,0
AuSable Valley,Goods and Services ,,T5999,HK,Per Item,0,0,0,0
AuSable Valley,Wraparound Services,,T5999,,Per Item,0,0,0,0
AuSable Valley,Pharmacy (Drugs and Other Biologicals),,,,,0,0,0,0
AuSable Valley,Other,,,,,0,0,0,0
AuSable Valley,Aggregate for 'J' Codes,,ALL,,,0,0,0,0
Barry,"Local Psychiatric Hospital/IMD PT68 
bundled per diem",0100,,PT68,Day,0,0,0,195393
Barry,"Local Psychiatric Hospital/IMD PT68
bundled per diem",0100,,PT68,Day,0,0,0,0
Barry,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0
Barry,"Local Psychiatric Hospital/IMD PT68
physician costs excluded","0114, 0124, 0134, 0154",,PT68,Day,0,0,0,0
Barry,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,1,9,8112,439859
Barry,"Local Psychiatric Hospital - Acute Community PT73
bundled per diem",0100,,PT73,Day,0,0,0,0
Barry,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0,41525
Barry,"Local Psychiatric Hospital - Acute Community PT73
physician costs excluded","0114, 0124, 0134, 0154",,PT73,Day,0,0,0,0
Barry,Local Psychiatric Hospital/IMD,,,PT68,Amount,0,0,0,0
Barry,Local Psychiatric Hospital/Acute Community,,,PT73,Amount,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Room and Board,0144,,,Day,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Leave of Absence,0183,,,Day,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Pharmacy,"0250-0254, 0257-0258 ",,,,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Medical/Surgical Supplies and Devices,0270-0272,,,# of items,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Laboratory,"0300-0302, 0305-0307",,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Radiology,0320,,,# of tests,0,0,0,0
Barry,ECT Anesthesia,0370,,,,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Respiratory Services,0410,,,# of treatments,0,0,0,0
Barry,Inpatient Hospital Ancillary Services -Physical Therapy,0420-0424,,,# of treatments,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Occupational Therapy,0430-0434,,,# of treatments,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Speech-Language Pathology,0440-0444,,,# of treatments,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Emergency Room,0450,,,# of visits,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Pulmonary Function,0460,,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Audiology,0470-0472,,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Magnetic Resonance Technology (MRT),0610-0611,,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Pharmacy,0636,,,# of units,0,0,0,0
Barry,ECT Recovery Room,0710,,,,0,0,0,0
Barry,Inpatient Hospital Ancillary Services -EKG/ECG,0730-0731,,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - EEG,0740,,,# of tests,0,0,0,0
Barry,Crisis Observation Care,0762,,,Hour,0,0,0,0
Barry,Additional Codes-ECT Facility Charge,0901,,,Encounter,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Psychiatric/Psychological Treatments/Services,"0900, 0902-0904, 0911, 0914-0919",,,# of visits,0,0,0,0
Barry,Outpatient Partial Hospitalization,0912,,,Day,0,0,0,0
Barry,Outpatient Partial Hospitalization,0913,,,Day,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Other Diagnosis Services,0925,,,# of tests,0,0,0,0
Barry,Inpatient Hospital Ancillary Services - Other Therapeutic Services,0940-0942,,,# of visits,0,0,0,0
Barry,Additional Codes-ECT Anesthesia,,00104,,Minutes,0,0,0,0
Barry,Additional Codes-ECT Anesthesia,0901,00104,,Minutes,0,0,0,0
Barry,ABA Behavior Identification Assessment,,0359T,U5,Encounter,18,26,5553,7537
Barry,ABA Behavioral Follow-up Assessment,,0362T,U5,First 30 Minutes,0,0,0,0
Barry,ABA Behavioral Follow-up Assessment,,0363T,U5,Each Additional 30 Minutes,0,0,0,0
Barry,ABA Adaptive Treatment,,0364T,U5,First 30 Minutes,18,1547,259211,356059
Barry,ABA Adaptive Treatment,,0365T,U5,Each Additional 30 Minutes,18,2363,396776,535513
Barry,ABA Group Adaptive Behavior Treatment,,0366T,U5,First 30 Minutes,0,0,0,0
Barry,ABA Group Adaptive Behavior Treatment,,0367T,U5,Each Additional 30 Minutes,0,0,0,0
Barry,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0368T,U5,First 30 Minutes,17,232,88060,122601
Barry,ABA Clinical Observation and Direction of Adaptive Behavior Treatment,,0369T,U5,Each Additional 30 Minutes,17,208,78950,107418
Barry,ABA Family Behavior Treatment Guidance,,0370T,U5,Encounter,0,0,0,0
Barry,ABA Family Behavior Treatment Guidance,,0371T,U5,Encounter,0,0,0,0
Barry,ABA Adaptive Behavior Treatment Social Skills Group,,0372T,U5,Encounter,0,0,0,0
Barry,ABA Exposure Adaptive Behavior Treatment,,0373T,U5,First 60 Minutes,0,0,0,0
Barry,ABA Exposure Adaptive Behavior Treatment,,0374T,U5,Each Additional 30 Minutes,0,0,0,0
Barry,Drug Screen,,80305,,Encounter,0,0,0,0
Barry,Drug Screen,,80306,,Encounter,0,0,0,0
Barry,Drug Screen,,80307,,Encounter,0,0,0,0
Barry,Interactive Complexity - Add On Code,,90785,,Encounter,0,0,0,0
Barry,Assessment for Autism,,90785,U5,Encounter,0,0,0,0
Barry,Substance Abuse - Interactive Complexity - Add On Code,,90785,HF,Encounter,0,0,0,0
Barry,Assessment,,"90791
",,Encounter,1,1,397,397
Barry,Substance Use: Assessment,,90791,HF,Encounter,0,0,0,0
Barry,Assessment for Autism,,90791,U5,Encounter,0,0,0,0
Barry,Assessment,,90792,,Encounter,11,11,6620,63961
Barry,Substance Use: Assessment,,90792,HF,Encounter,0,0,0,0
Barry,Assessment for Autism,,90792,U5,Encounter,0,0,0,0
Barry,Mental Health: Outpatient Care,,90832,,30 Minutes,3,7,1388,38331
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90832,HF,30 Minutes,0,0,0,0
Barry,Assessment,,90833,,30 Minutes,0,0,0,0
Barry,Mental Health: Outpatient Care,,90834,,45 Minutes,17,64,12607,400271
Barry,Substance Use Disorder: Outpatient Care,"0900, 0906, 0914, 0915, 0916, 0919",90834,HF,45 Minutes,0,0,0,0
Barry,Assessment,,90836,,45 Minutes,0,0,0,0
Barry,Mental Health: Outpatient Care,,90837,,60 Minutes,1,1,198,13671
Barry,Substance Use Disorder: Outpatient Care,,90837,HF,60 Minutes,0,0,0,0
Barry,Assessment,,90838,,60 Minutes,0,0,0,0
Barry,Psychotherapy for Crisis First 60 Minutes,,90839,,First 30-74 Min.,0,0,0,0
Barry,Psychotherapy for Crisis Each Additional 30 Minutes,,90840,,Each Additional 30 Minutes,0,0,0,1190
Barry,Therapy-Family Therapy,,90846,,Encounter,1,1,198,6743
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90846,HF,Encounter,0,0,0,0
Barry,Therapy-Family Therapy,,90847,,Encounter,6,21,4165,129492
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90847,HF,Encounter,0,0,0,0
Barry,Therapy-Family Therapy,,90849,,Encounter,0,0,0,0
Barry,Therapy-Family Therapy,,90849,HS,Encounter,0,0,0,0
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90849,HF,Encounter,0,0,0,0
Barry,Therapy-Group Therapy,,90853,,Encounter,6,40,5506,113833
Barry,Substance Use Disorder: Outpatient Treatment,"0900, 0906, 0914, 0915, 0916, 0919",90853,HF,Encounter,0,0,0,0
Barry,Additional Codes-ECT Physician,,90870,,Encounter,0,0,0,0
Barry,Additional Codes-ECT Physician,0901,90870,,Encounter,0,0,0,0
Barry,Assessments-Other,,90887,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92507,,Encounter,26,371,15350,20052
Barry,Speech & Language Therapy ,,92508,,Encounter,19,180,2264,2264
Barry,Speech & Language Therapy ,,92521,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92522,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92523,,Encounter,27,29,2479,2736
Barry,Speech & Language Therapy ,,92524,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92526,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92607,,First Hour,0,0,0,0
Barry,Speech & Language Therapy ,,92608,,Each Additional  30 Minutes,0,0,0,0
Barry,Speech & Language Therapy ,,92609,,Encounter,0,0,0,0
Barry,Speech & Language Therapy ,,92610,,Encounter,0,0,0,0
Barry,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92626,,First Hour,0,0,0,0
Barry,Evaluation of Auditory Rehabilitation Status (Children's Waiver),,92627,,Each Additional 15 Minutes,0,0,0,0
Barry,Auditory Rehabilitation Preling Hearing Loss (Children's Waiver),,92630,,Encounter,0,0,0,0
Barry,Auditory Rehabilitation; Post-Lingual Hearing Loss (Children's Waiver),,92633,,Encounter,0,0,0,0
Barry,Psychological Testing PSYCH/PHYS ,,96101,,Per Hour,0,0,0,0
Barry,Assessment for Autism,,96101,U5,Hour,0,0,0,0
Barry,Psychological Testing by Technician ,,96102,,Per Hour,4,7,1340,2298
Barry,Assessment for Autism,,96102,U5,Hour,0,0,0,0
Barry,Psychological Testing by Comp ,,96103,,Per Hour,0,0,0,0
Barry,Assessments-Other,,96105,,Encounter,0,0,0,0
Barry,Assessments-Other,,96110,,Encounter,0,0,0,0
Barry,Assessments-Other,,96111,,Encounter,0,0,0,0
Barry,Neurobehavioral Status Exam,,96116,,Per Hour,0,0,0,0
Barry,Neuropsych test by Psych/Phys ,,96118,,Per Hour,0,0,0,0
Barry,Assessment for Autism,,96118,U5,Hour,0,0,0,0
Barry,Neuropsych test by Tech ,,96119,,Per Hour,0,0,0,0
Barry,Assessment for Autism,,96119,U5,Hour,0,0,0,0
Barry,Neuropsych test Admin w/Comp ,,96120,,Per Hour,0,0,0,0
Barry,Assessments-Other,,96127,,,0,0,0,0
Barry,Medication Administration,,96372,,Encounter,1,7,574,18709
Barry,Occupational or Physical Therapy,,97110,,15 Minutes,22,1467,38878,43330
Barry,Occupational or Physical Therapy,,97112,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97113,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97116,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97124,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97140,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97150,,Encounter,0,0,0,0
Barry,Physical Therapy,,97161,,Encounter,0,0,0,0
Barry,Physical Therapy,,97162,,Encounter,0,0,0,0
Barry,Physical Therapy,,97163,,Encounter,0,0,0,0
Barry,Physical Therapy,,97164,,Encounter,0,0,0,0
Barry,Occupational Therapy,,97165,,Encounter,2,2,212,212
Barry,Occupational Therapy,,97166,,Encounter,17,17,1802,1908
Barry,Occupational Therapy,,97167,,Encounter,6,6,636,848
Barry,Occupational Therapy,,97168,,Encounter,0,0,0,0
Barry,Occupational or Physical Therapy,,97530,,15 Minutes,0,0,0,0
Barry,"Occupational or Physical Therapy 
(Note: Retired 12/31/17)",,97532,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97533,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97535,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97537,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97542,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97750,,15 Minutes,0,0,0,0
Barry,Occupational Therapy,,97755,,15 Minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97760,,15 Minutes,0,0,0,0
Barry,Prosthetic Training (Children's Waiver),,97761,,15 Minutes,0,0,0,0
Barry,"C/O for Orthotic/Prosth Use  or Physical Therapy
(Note: Retired 12/31/17)",,97762,,15 minutes,0,0,0,0
Barry,Occupational or Physical Therapy,,97763,,15 Minutes,0,0,0,0
Barry,Assessment or Health Services,,97802,,15 Minutes,0,0,0,0
Barry,Assessment or Health Services,,97803,,15 Minutes,0,0,0,0
Barry,Health Services,,97804,,30 Minutes,0,0,0,0
Barry,Substance Use Disorder: Acupuncture,,97810,,Encounter,0,0,0,0
Barry,Substance Use Disorder: Acupuncture,,97811,,Encounter,0,0,0,0
Barry,New Patient Evaluation and Management,,99201,,Encounter,0,0,0,0
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99201,HF,Encounter,0,0,0,0
Barry,New Patient Evaluation and Management,,99202,,Encounter,0,0,0,0
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99202,HF,Encounter,0,0,0,0
Barry,New Patient Evaluation and Management,,99203,,Encounter,0,0,0,0
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99203,HF,Encounter,0,0,0,0
Barry,New Patient Evaluation and Management,,99204,,Encounter,0,0,0,0
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99204,HF,Encounter,0,0,0,0
Barry,New Patient Evaluation and Management,,99205,,Encounter,0,0,0,0
Barry,Substance Use Disorder: New Patient Evaluation and Management,,99205,HF,Encounter,0,0,0,0
Barry,Established Patient Evaluation and Management,,99211,,Encounter,11,12,985,10012
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99211,HF,Encounter,0,0,0,0
Barry,Established Patient Evaluation and Management,,99212,,Encounter,0,0,0,4157
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99212,HF,Encounter,0,0,0,0
Barry,Established Patient Evaluation and Management,,99213,,Encounter,35,49,13888,128996
Barry,Sustance Abuse: Established Patient Evaluation and Management,,99213,HF,Encounter,0,0,0,0
Barry,Established Patient Evaluation and Management,,99214,,Encounter,17,20,5756,55264
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99214,HF,Encounter,0,0,0,0
Barry,Established Patient Evaluation and Management,,99215,,Encounter,1,1,241,3319
Barry,Substance Use Disorder: Established Patient Evaluation and Management,,99215,HF,Encounter,0,0,0,0
Barry,Additional Codes-Physician Services,,99221,,30 Minutes,0,0,0,110
Barry,Additional Codes-Physician Services,,99222,,50 Minutes,0,0,0,310
Barry,Additional Codes-Physician Services,,99223,,70 Minutes,0,0,0,413
Barry,Additional Codes-Physician Services,,99224,,15 Minutes,0,0,0,0
Barry,Additional Codes-Physician Services,,99225,,25 minutes,0,0,0,0
Barry,Additional Codes-Physician Services,,99226,,35 Minutes,0,0,0,0
Barry,Additional Codes-Physician Services,,99231,,15 Minutes,0,0,0,1016
Barry,Additional Codes-Physician Services,,99232,,25 minutes,0,0,0,1331
Barry,Additional Codes-Physician Services,,99233,,35 Minutes,0,0,0,827
Barry,Additional Codes-Physician Services,,99238,,<= 30 Minutes,0,0,0,30
Barry,Additional Codes-Physician Services,,99239,,> 30 Minutes,0,0,0,642
Barry,Substance Use Disorder: Physician Consultations,,99241,HF,15 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99242,HF,30 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99243,HF,40 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99244,HF,60 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99245,HF,80 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99251,HF,20 Minutes,0,0,0,0
Barry,Substance Use Disorder: Physician Consultations,,99252,HF,40 Minutes,0,0,0,0
